r_movieid,avg(rating),sum(rating)
1,0.8040159521128113,203263272.8536398
6,0.7941314877563909,52283231.58289155
10,0.7302884455310824,74143101.13637687
21,0.8573297001340815,68367671.20422232
32,0.7848367630060531,167892183.02249625
34,1.1485199927485186,147538368.3255979
39,0.9225660215645681,80050338.70249087
47,0.8118837939592747,150232283.55524868
50,0.5785898494377494,120093063.24396099
95,0.9206992214047095,59589518.025236145
110,0.9043289016077813,278916596.0741697
141,0.9446100787913603,62820372.29519259
150,0.7260595459298627,193641214.27844557
153,0.8762663807568303,116956859.00549692
161,0.6860882785403741,52648767.88331982
165,0.7832293577619999,107307924.19963226
185,0.9223691955967435,74496226.33196063
208,1.0368042062458829,97231349.1619332
231,1.4031748913573732,161852856.09833375
253,0.8691564060609197,79352263.28946
260,0.8356162522315446,244971670.42147103
288,1.4502440912418444,103379560.91086236
292,0.7606998013038473,70852949.51378249
296,1.010913285922177,447980764.73558205
316,0.8954000171272081,116488709.18259558
318,0.5165910448514915,179720528.45616803
329,0.8791502568983489,84433590.67251743
339,0.8483663011288508,60833822.71583773
344,1.217563874109139,193576682.76288867
349,0.6725555135311957,83718801.70186447
356,0.9487868043815809,402783543.5533186
357,0.8661959969504514,86066121.24169773
364,0.8863261733522617,139531855.73449674
367,0.9394406748762657,120658837.68116802
377,0.8631001964481803,173178659.31428224
380,0.8701653832586677,203271204.35771617
434,0.8414045329794076,70060074.31636348
454,0.6573181171526855,56180995.90599296
457,0.6050084860879198,181596700.27202338
480,0.8767681464575567,336338252.6309158
500,0.9048815941327719,118383708.0356736
527,0.6446080652668092,154367919.30980992
539,0.9201458323192215,95506853.19573991
541,0.7981053407629741,66863197.55818406
586,0.9988043923685408,85589594.93226023
587,0.9717581166948163,101936030.99663065
588,0.8391083632027146,168602567.86104846
589,0.8312888130257327,250582905.0863716
590,0.9046814882406957,215865877.11494815
592,0.6892759897234866,180313410.5998578
593,0.7011101261169002,285712871.3101147
595,0.9699858424805838,137198143.0416245
597,0.9484854993230839,125524483.12718356
608,0.8628598407604869,176495567.87144282
648,0.790011268389888,126599527.75264597
733,0.8437930032391767,98857924.21546663
736,1.0086498454538448,126932051.03396721
780,1.162252862321806,279880163.8399169
858,0.6392071243262191,90655090.81764363
1036,0.7294462761761545,66318501.77024341
1073,0.931501810729892,82272479.25401706
1089,0.7806953612296091,50302332.64166451
1097,0.9222705043093206,105097911.73763382
1136,0.7465239500864956,70791853.90022606
1193,0.5753821464062197,41708413.803594746
1196,0.7780346388784707,148168916.62801597
1197,0.7480332427728139,74579082.61192918
1198,0.591730665071446,101872730.59805645
1200,0.8455794273649662,61150626.55745046
1210,0.8345706449176377,192743096.47009033
1214,0.7831838826824824,71937833.03433149
1221,0.7214682088628106,46347280.06769395
1240,0.8060977683717193,88398925.45582989
1265,0.8083244870805796,81464171.26952566
1270,0.7207098317593839,115074654.88943386
1291,0.6360688300275709,59170954.88386556
1527,0.9776429003145718,69740074.17193635
1580,0.8379838616293365,103639029.21852513
1617,0.6816294725783348,55925901.44976266
1704,0.6943490502716226,47753056.73667398
1721,1.3704864995794817,131460403.54477686
1923,1.0708189235989005,69340032.37987824
2028,0.793277686697843,103764663.21690308
2396,0.940230216459521,66090150.89013489
2571,0.7945199255850665,154482589.78584227
2628,1.3068481207977476,116507292.50995597
2716,0.7680241442178922,65813562.59950269
2762,0.6958372249561277,96052675.39155613
2858,0.8102448030184592,141776622.66825315
2959,0.8220107836412098,78881483.16763686
2997,0.8963023452208535,63635204.24356126
3578,0.8378208035424556,72198444.49051908
4306,0.7688021258175526,58619489.18016261
4993,0.8994511695197547,82513926.9433015
5952,0.8835225937906264,67551960.52156019
