n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4348.931391606885,20000735.470000062
ARGENTINA,4516.960271839651,973048098.7199694
BRAZIL,4521.747691825211,43255038.41999997
CANADA,4446.4370666747045,426070939.0399702
CHINA,4500.515689501449,196632030.99000782
EGYPT,4475.253302001608,518489421.8100003
ETHIOPIA,4490.501280436787,91287400.52999943
FRANCE,4413.097014180644,33610146.85999978
GERMANY,4272.592251016286,8408461.550000051
INDIA,4534.852237447154,141977153.8499955
INDONESIA,4661.626830880151,15518555.720000021
IRAN,4593.795606650162,51946640.72000003
IRAQ,4597.247115621155,7475123.809999998
JAPAN,4676.45420444306,31154537.909999665
JORDAN,4437.429931223819,2098837796.019898
KENYA,4121.1922464898535,2641684.229999996
MOROCCO,4170.1832307055565,7628182569.271217
MOZAMBIQUE,4561.671082854808,11121354.100000022
PERU,4389.218194222258,145401631.12000072
ROMANIA,4367.318930758355,9271818.089999989
RUSSIA,4580.549859294278,41669262.070000045
SAUDI ARABIA,4398.747928561756,226962196.87000093
UNITED KINGDOM,4502.3281823738525,117857444.83000034
UNITED STATES,4190.000615763546,1701140.2499999998
VIETNAM,4634.415356448504,14301805.790000083
