n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,1002.0325727743071,104402775.78992784
ARGENTINA,904.987353242571,143217868.60004982
BRAZIL,980.5719356300331,112209788.30995157
CANADA,914.1314848820423,149954128.78005022
CHINA,949.4669848989281,118268456.03996518
EGYPT,928.1586910206577,126427279.77999684
ETHIOPIA,957.2523743951136,107134728.48992673
FRANCE,1062.8033120366542,99479452.80994287
GERMANY,1044.5346259333612,102745648.47993506
INDIA,979.0173175423968,122593527.51997647
INDONESIA,981.3568484271955,109386941.10993734
IRAN,925.655711670787,113796410.56995988
IRAQ,1047.6174750497044,98884613.46994159
JAPAN,994.519399466365,112314059.339935
JORDAN,892.6310372485816,155721269.71008956
KENYA,1074.4587240193339,87263239.72995421
MOROCCO,844.454122402383,195588241.56022793
MOZAMBIQUE,1029.7430421326299,106192251.21992745
PERU,978.489400021538,115726919.82994732
ROMANIA,1009.8163785349197,99323519.35993764
RUSSIA,998.3029924746787,109849268.07994375
SAUDI ARABIA,993.471970770034,111482457.19995937
UNITED KINGDOM,951.8814092457501,114273363.1799523
UNITED STATES,1075.363754779088,86899069.65994331
VIETNAM,993.7570032563688,96721375.36993912
