n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4368.604768227843,90473804.74999863
ARGENTINA,4540.533129191557,1218497470.5498464
BRAZIL,4417.7398497301165,147287446.5900021
CANADA,4416.26348461348,776524857.2900419
CHINA,4440.162330393478,390134863.160023
EGYPT,4421.393542204859,708705170.8800168
ETHIOPIA,4413.9388405319705,215620912.35998675
FRANCE,4421.624007445603,114020418.27999975
GERMANY,4476.631468711091,57515761.110000096
INDIA,4509.297706240416,344307426.35998696
INDONESIA,4448.983537630918,88196649.64999533
IRAN,4469.875425458191,180493569.68000174
IRAQ,4499.310796333993,44183232.01999981
JAPAN,4505.052240540164,126794695.31000294
JORDAN,4512.581821483928,2107962346.2697873
KENYA,4596.152005305035,17327493.059999984
MOROCCO,3991.622209316204,4852563228.776988
MOZAMBIQUE,4643.866422668244,66867032.62000005
PERU,4565.649454453088,332246876.45000565
ROMANIA,4421.962236996069,52877824.429998994
RUSSIA,4496.258409571975,152944726.0600003
SAUDI ARABIA,4444.304548634688,388783317.6100139
UNITED KINGDOM,4562.867196875651,305534150.36999047
UNITED STATES,4739.645052631559,9905858.15999996
VIETNAM,4373.45788155487,67053856.23999927
