n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4282.30805323109,513256031.72001225
ARGENTINA,4298.631088734677,515053379.7900115
BRAZIL,4289.141005618826,514508198.47001195
CANADA,4280.082896847322,513430184.1400111
CHINA,4285.893944132176,513681532.78001785
EGYPT,4290.3442221834475,514879919.76001334
ETHIOPIA,4293.058630713816,517034516.19001836
FRANCE,4283.993593850036,515745704.7700119
GERMANY,4302.074801711956,516692089.91001105
INDIA,4289.2103752480225,516879874.6900134
INDONESIA,4269.6215197546835,513532997.9100143
IRAN,4299.232706855248,516840858.3200173
IRAQ,4264.5098851064095,511843534.45001173
JAPAN,4286.273571644141,511643903.7000178
JORDAN,4299.52570623849,512907619.60001445
KENYA,4285.439013476283,511981398.9400116
MOROCCO,4283.491248583152,513916146.04001224
MOZAMBIQUE,4279.74313533843,512285253.30001
PERU,4293.275258174926,514677837.9500102
ROMANIA,4272.576769050077,512598125.29001397
RUSSIA,4287.793459761225,514037831.13001466
SAUDI ARABIA,4283.894320109188,515283944.40001357
UNITED KINGDOM,4278.1027857741965,516285722.2900158
UNITED STATES,4292.339706105363,515411274.8900137
VIETNAM,4269.734504337162,512415107.60000724
