n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,3815.424859154931,541790.3300000002
ARGENTINA,4536.780082394433,423975709.04000694
BRAZIL,4056.707589743596,2373173.9400000037
CANADA,4438.179702970299,96375072.25000006
CHINA,4672.718588235291,35746297.19999997
EGYPT,4414.664394125678,172251375.3299957
ETHIOPIA,4316.3892857142755,10937730.449999975
FRANCE,4241.256454352437,1997631.7899999977
GERMANY,2525.7155000000007,50514.31000000001
INDIA,4705.893103626909,18164747.37999987
INDONESIA,6077.687692307692,316039.75999999995
IRAN,4402.640971428567,3081848.6799999974
IRAQ,4887.097619047621,102629.05000000005
JAPAN,5027.5200819672045,1226714.8999999978
JORDAN,4441.830900432546,1393029239.6700532
KENYA,5931.445,23725.78
MOROCCO,4248.977716648498,10605473874.620953
MOZAMBIQUE,7405.318108108113,273996.7700000002
PERU,4373.341207411848,21949799.520000063
ROMANIA,7620.8811428571435,266730.84
RUSSIA,4300.80498942918,2034280.7600000019
SAUDI ARABIA,4605.366110726607,53238032.23999958
UNITED KINGDOM,4801.30679586562,13006740.109999966
UNITED STATES,4324.18,4324.18
VIETNAM,5079.588533333327,380969.13999999955
