n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,1825.7694345957245,190228743.15996313
ARGENTINA,1446.263293629767,228876951.27008516
BRAZIL,1685.8179729620656,192913208.09996805
CANADA,1448.3541705687908,237588018.14010444
CHINA,1716.0349198397803,213754457.72000256
EGYPT,1572.1983906824416,214153859.39002743
ETHIOPIA,1739.1936814121214,194648817.62996322
FRANCE,1962.7785725576362,183718037.1699673
GERMANY,1928.5434418743757,189701175.65997297
INDIA,1671.2612248745122,209277001.8400113
INDONESIA,1806.2302072396822,201331450.04997116
IRAN,1715.3935560778252,210883622.20998353
IRAQ,2007.5854657270452,189495992.10997579
JAPAN,1741.9273682623666,196721083.47997385
JORDAN,1425.293314723378,248645269.34012273
KENYA,2211.7278642137717,179627690.21998566
MOROCCO,1208.581086847819,279925508.4302576
MOZAMBIQUE,1845.4120681693344,190308119.5299626
PERU,1693.7002060520622,200315617.06998345
ROMANIA,1973.9357326293916,194152370.7899617
RUSSIA,1815.0083610815518,199716260.01996964
SAUDI ARABIA,1772.3954362605107,198889353.8799732
UNITED KINGDOM,1650.5209600998312,198145041.25998473
UNITED STATES,2329.7987221719354,188268704.93999192
VIETNAM,1970.1623705161508,191753933.35996643
