n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,2979.6953038167353,310457433.39996946
ARGENTINA,2156.6233324911877,341294268.8600604
BRAZIL,2653.887821519666,303692345.0799599
CANADA,2133.920931358363,350048389.58002585
CHINA,2537.3676818153663,316062130.54996747
EGYPT,2340.373634087731,318789313.81999207
ETHIOPIA,2815.6304835634937,315122548.08994263
FRANCE,3194.2993379342365,298989612.32998246
GERMANY,3045.699031769298,299590185.259987
INDIA,2516.91000806558,315169988.11998
INDONESIA,2783.434871035619,310255567.89998525
IRAN,2637.141429035703,324199618.71993315
IRAQ,3149.9173233396245,297320696.15002716
JAPAN,2686.3631906526425,303379054.2099749
JORDAN,2017.3137594305767,351924419.96018296
KENYA,3447.8022203754886,280016705.1300157
MOROCCO,1654.1479651161167,383125480.94036937
MOZAMBIQUE,3008.226187636033,310223325.59996593
PERU,2681.9516981335983,317197109.2899588
ROMANIA,2964.0021452244173,291533322.99998325
RUSSIA,2659.1331281576195,292600372.8899518
SAUDI ARABIA,2468.5548293003962,277008880.169944
UNITED KINGDOM,2528.7832069135306,303580423.9899694
UNITED STATES,3769.495441596716,304609157.139989
VIETNAM,2957.119848143774,287813517.6999854
