r_movieid,avg(rating),sum(rating),avg(relevance),sum(relevance)
1,3.893707794587238,251706996.0,0.16338187056923237,10561747.827870011
2,3.2515271586594023,88861584.0,0.12220523049385935,3339769.2299290933
3,3.142028126058963,41835828.0,0.09211015070850094,1226438.5509904276
4,2.85354736424891,8121036.0,0.08731804078029805,248502.25425044456
5,3.0584343520573674,40412292.0,0.09396631205660186,1241613.7159982065
6,3.854908898649748,106916916.0,0.1593918439732418,4420774.87204467
7,3.3636663369601054,46031424.0,0.09540669326244483,1305630.6750004583
8,3.1145833333333335,4721808.0,0.07865979609926758,119250.76799996484
9,2.992050660199407,12524748.0,0.08111613475183536,339552.7890002609
10,3.42145763311516,109086060.0,0.12709485815527202,4052155.1949758856
11,3.6571705198920315,70303164.0,0.1193945035466585,2295165.4340107497
12,2.6245656241646618,11075268.0,0.07831582446810469,330480.87525008264
13,3.333527696793003,6448776.0,0.08040403368791749,155543.21124995014
14,3.4234888364494465,21274080.0,0.1226684397163896,762280.3300004819
15,2.7190217391304348,8465076.0,0.09818173758873754,305667.2400002648
16,3.8237068028689416,79379052.0,0.16056471631023117,3333277.267962102
17,3.948806325713417,87877968.0,0.11345611702137655,2524887.8265022244
18,3.3843505768515074,20515500.0,0.11069592198589139,671024.5100004594
19,2.6421677802524126,64232832.0,0.10865913120644298,2641574.7600187003
20,2.869921875,12431124.0,0.08967375886530396,388423.6800002414
21,3.5701620505454055,89712660.0,0.12691511524866356,3189180.8892609715
22,3.3200173216412256,34592376.0,0.10862765957373775,1131828.0839923904
23,3.145691333982473,14576580.0,0.0926298758866359,429230.54200051475
24,3.18758389261745,26787180.0,0.11759552304993208,988225.7375024093
25,3.677304434479322,83250348.0,0.1457748226951937,3300190.380003582
26,3.606708513142409,10370268.0,0.10570412234053987,303928.10325032874
27,3.4039315155358274,6055104.0,0.09025797872344533,160555.94700007307
28,4.03,13410228.0,0.09607535461003736,319700.3500003603
29,3.936724864539434,36879396.0,0.17641445035411688,1652657.627495381
30,3.6367924528301887,4783284.0,0.11880695921986392,156260.61550000758
31,3.244838567977158,33329580.0,0.10470057624094958,1075439.088498098
32,3.9057678412037236,207306096.0,0.1951232269534975,10356538.346166814
33,3.023076923076923,221652.0,0.09561546985815558,7010.526249999967
34,3.6031917599186163,127849776.0,0.10748581560292433,3813851.264003103
35,3.4792899408284024,5306112.0,0.09919215425533832,151273.59000002925
36,3.91868681658758,85700364.0,0.14413918439883394,3152275.5320365406
37,2.993333333333333,253236.0,0.12950620567375767,10956.2249999999
38,2.870839936608558,2043372.0,0.07394171099289078,52629.343749987886
39,3.4187380861608845,101151708.0,0.10533577127435706,3116615.812433763
40,3.6267252195734003,3260484.0,0.08670545212763581,77949.58874997863
