n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4707.61120719598,858385827.5201149
ARGENTINA,5726.025139088324,1586189127.8794131
BRAZIL,3621.963837598209,725233063.1299646
CANADA,3393.7783914532497,973732714.740592
CHINA,5936.522705903104,1294761538.680173
EGYPT,3756.6671279488264,895645793.3099195
ETHIOPIA,4087.346166506936,800645716.4800446
FRANCE,4475.226412959441,733619390.6500282
GERMANY,4045.516039252529,696718772.2800705
INDIA,4525.729509068792,990822487.1499397
INDONESIA,4778.1688732308985,931785933.7998843
IRAN,4326.875165300683,931468051.2101045
IRAQ,4535.22523772068,749287237.650022
JAPAN,4599.840245836464,908233856.7001641
JORDAN,2995.5602360248436,914820131.6000991
KENYA,4429.6613139479805,629751660.0200425
MOROCCO,2789.0941530956875,1130124216.269454
MOZAMBIQUE,4799.985066467217,866229305.0200063
PERU,4398.480076097935,910938419.2001107
ROMANIA,4704.622587914395,809392679.2699683
RUSSIA,4601.27111346279,884911859.2700503
SAUDI ARABIA,5559.957875382916,1091414170.9797912
UNITED KINGDOM,3717.9687420976697,781011385.8400049
UNITED STATES,4458.412907995824,630740590.9199852
VIETNAM,4537.616846417169,773899628.390141
