n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,2998.819572226766,546804760.7998285
ARGENTINA,2144.3806748041943,594023468.2502091
BRAZIL,2649.7798674524024,530570722.4197294
CANADA,2117.6031528287517,607576343.800167
CHINA,2531.4577685562194,552113470.77988
EGYPT,2333.035150640592,556230575.4399767
ETHIOPIA,2825.8660313752553,553541941.6899105
FRANCE,3228.1152656923855,529181707.38968706
GERMANY,3059.0920479603474,526836832.499731
INDIA,2529.8615690332963,553865123.1700286
INDONESIA,2753.396229454586,536937045.3097093
IRAN,2626.633059109704,565448431.7998415
IRAQ,3143.7066611362393,519387496.01962376
JAPAN,2722.30381090646,537516165.1596696
JORDAN,2014.9678760415736,615355069.6000882
KENYA,3418.1428430628907,485947113.569722
MOROCCO,1657.3261260541717,671538602.320394
MOZAMBIQUE,3020.0306396240617,545009829.3797563
PERU,2675.5590387386146,554116303.5998833
ROMANIA,2955.3421768501466,508442978.78965294
RUSSIA,2667.873855935391,513082832.09963846
SAUDI ARABIA,2483.9871721696472,487604197.90972954
UNITED KINGDOM,2530.803673212635,531630742.809739
UNITED STATES,3758.657405562994,531744780.47980785
VIETNAM,2941.467312196115,501673133.0296718
