n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4504.773106997889,821400328.3299952
ARGENTINA,4481.66605460375,1241484240.4500031
BRAZIL,4490.011502956586,899043983.2600031
CANADA,4493.980990251629,1289399543.7800267
CHINA,4492.422019889812,979801734.9599879
EGYPT,4503.047951429274,1073594177.3400104
ETHIOPIA,4490.460676880233,879609399.2300076
FRANCE,4499.684982766961,737628859.5400052
GERMANY,4501.072614678878,775174725.6999965
INDIA,4504.855041771178,986252419.1500057
INDONESIA,4505.731371064903,878658168.9399956
IRAN,4506.1533622575225,970062165.0599883
IRAQ,4505.831310111046,744430919.8999965
JAPAN,4504.701110109457,889448729.4900022
JORDAN,4503.0828059675005,1375205464.280027
KENYA,4508.022147544762,640891984.6499963
MOROCCO,4468.705310197138,1810692579.460019
MOZAMBIQUE,4486.961077494277,809739430.8500046
PERU,4487.416086729759,929357333.8099931
ROMANIA,4494.141593331897,773181108.0000062
RUSSIA,4496.9384591226235,864846707.5200038
SAUDI ARABIA,4518.739451601908,887024035.6100029
UNITED KINGDOM,4494.299862232467,944090606.2600008
UNITED STATES,4499.081704648257,636494086.9199982
VIETNAM,4495.9794751160525,766798291.439993
