n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4274.556155665592,894476522.9099591
ARGENTINA,4286.819231741506,902049650.0199746
BRAZIL,4277.233415480301,898693790.1599815
CANADA,4277.615269663306,903941381.1699802
CHINA,4293.3693647517275,903080192.2899725
EGYPT,4273.3248189141905,901103184.5899787
ETHIOPIA,4291.204220495794,904808992.2999792
FRANCE,4291.193114448016,899009248.6699739
GERMANY,4299.8180026897035,901594438.4399824
INDIA,4284.173566281214,901287298.1799768
INDONESIA,4275.403340802692,902456412.579973
IRAN,4281.495307548441,903078679.2399625
IRAQ,4281.370108325006,897970285.1499784
JAPAN,4283.2080238945,897344930.6299694
JORDAN,4288.341491519703,898857818.3299873
KENYA,4301.975481802173,894901241.6999699
MOROCCO,4247.128566456722,896980811.8499603
MOZAMBIQUE,4274.249689004639,895681845.079989
PERU,4290.3362018958915,899692082.2099721
ROMANIA,4283.689873911457,899283582.6099799
RUSSIA,4294.08086340171,902083331.4599776
SAUDI ARABIA,4310.500684091388,901114478.5099888
UNITED KINGDOM,4285.515331242182,903116644.3599836
UNITED STATES,4302.677899550713,898493804.3399789
VIETNAM,4293.167105444092,898662911.1799791
