n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4492.273144619901,819121085.1899928
ARGENTINA,4493.018229367496,1244628951.7900076
BRAZIL,4500.820700337595,901208330.4699972
CANADA,4497.174814353934,1290315906.2099879
CHINA,4505.2720430900945,982604337.8699926
EGYPT,4502.204111528212,1073392993.2499986
ETHIOPIA,4501.669277837905,881804984.8200002
FRANCE,4492.546002110684,736458573.5800023
GERMANY,4489.824527000333,773237580.0399973
INDIA,4498.66240902385,984896659.8700006
INDONESIA,4501.947195821721,877920220.709998
IRAN,4492.021592010264,967019948.2200096
IRAQ,4499.935938625458,743456916.100005
JAPAN,4496.120864780303,887754568.6300061
JORDAN,4493.825890658609,1372378476.400014
KENYA,4505.152934084565,640484077.1800003
MOROCCO,4504.270772074607,1825103491.2199981
MOZAMBIQUE,4495.312474496445,811246565.710001
PERU,4512.46993442873,934546060.8299932
ROMANIA,4498.9688642308,774011601.3399953
RUSSIA,4493.029339534877,864094909.550008
SAUDI ARABIA,4491.768763722722,881729716.5500066
UNITED KINGDOM,4496.565193226799,944566470.7499944
UNITED STATES,4503.77689747796,637158325.2400019
VIETNAM,4504.650746224017,768277194.0699985
