n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,3918.3240347153537,714467204.4899976
ARGENTINA,3412.816233692064,945397876.1599734
BRAZIL,5139.887367653201,1029169927.3999358
CANADA,4250.497946303422,1219540119.2595391
CHINA,5240.23051985179,1142899516.6101952
EGYPT,3310.4517501836726,789261354.0200403
ETHIOPIA,4105.240067693073,804150845.41999
FRANCE,4600.12352085368,754093648.650023
GERMANY,4581.544567471975,789033605.4100235
INDIA,4638.654937261439,1015545364.069584
INDONESIA,4632.364760087591,903352819.499921
IRAN,4858.71373085513,1045959598.4098382
IRAQ,4399.242341978852,726820823.5300361
JAPAN,4262.3159517649465,841590022.3600368
JORDAN,2859.942306281833,873403500.8000216
KENYA,4585.788365091881,651947774.5000174
MOROCCO,2654.201586351528,1075466557.580121
MOZAMBIQUE,4826.260801208454,870971155.4900837
PERU,4211.35262352667,872183762.390244
ROMANIA,4557.589368177046,784096790.0799153
RUSSIA,4686.01836677578,901210366.2799513
SAUDI ARABIA,4904.552327827375,962758717.4001858
UNITED KINGDOM,4240.927573977492,890866209.900008
UNITED STATES,4469.169605858483,632262362.4800113
VIETNAM,4268.510521366136,728003006.4400373
