n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4274.046815645018,895288860.5199776
ARGENTINA,4295.152945416385,902175400.4199845
BRAZIL,4286.1664066411195,900446411.0399797
CANADA,4282.76485096942,900489854.7999792
CHINA,4290.943755513096,900883641.4699746
EGYPT,4283.450424461674,901876203.419981
ETHIOPIA,4287.0474055633085,903268027.2099724
FRANCE,4291.404858534907,901873062.259979
GERMANY,4284.8369398851855,900664155.0899862
INDIA,4285.504531388175,900701629.3799783
INDONESIA,4277.074212008797,898874193.4699807
IRAN,4281.786560375297,900605294.3899777
IRAQ,4288.321505358846,899848519.719984
JAPAN,4291.5530725436365,897784319.6699836
JORDAN,4273.588973259417,894975002.7799871
KENYA,4286.126486632354,896661947.1299751
MOROCCO,4286.735796168845,901423376.689977
MOZAMBIQUE,4287.119728050587,899201927.3599703
PERU,4296.545867405305,903413216.8099766
ROMANIA,4287.458304079,901090824.3099793
RUSSIA,4278.438648397598,898514900.5499794
SAUDI ARABIA,4285.029042584463,899376175.6899679
UNITED KINGDOM,4278.237120802605,900924007.6099751
UNITED STATES,4298.416857370428,900913785.9699827
VIETNAM,4283.985372761286,898488820.1999701
