n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4436.235787426591,160817983.53000134
ARGENTINA,4559.266044517595,2141186349.5509763
BRAZIL,4525.822538042361,264108900.03
CANADA,4417.362015299406,1359292969.899872
CHINA,4409.506404346662,678045390.2899818
EGYPT,4418.932933096013,1239581390.660361
ETHIOPIA,4368.1860625309555,373453699.23002154
FRANCE,4464.642399468539,201511634.70001253
GERMANY,4601.870429486042,103505269.70000005
INDIA,4482.414135554522,598980518.5200151
INDONESIA,4598.490307807663,159553818.21000248
IRAN,4353.647527130965,307694038.97998095
IRAQ,4500.999883666237,76607018.01999936
JAPAN,4485.657095844143,220950011.569995
JORDAN,4516.4506910218115,3692130693.149966
KENYA,4392.5894255834955,28982305.029999904
MOROCCO,3992.5352692676183,8493995016.773511
MOZAMBIQUE,4493.731100178536,113264492.37999998
PERU,4490.1356803528615,571832249.299978
ROMANIA,4678.258155631933,97934656.22999889
RUSSIA,4483.061872449186,266908054.7000072
SAUDI ARABIA,4438.95343856228,679586015.6301308
UNITED KINGDOM,4571.538408612075,535724871.4900232
UNITED STATES,4578.546806883368,16762059.86000001
VIETNAM,4373.337949988798,117354150.5499994
