c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4495.0803444209405,4750.468926034023,74808300307.82318,79058543739.4479
1,4481.346229770319,5156.384253028952,78037804737.52196,89792862871.50594
2,4500.105140556691,4926.83382787809,83603605816.5076,91531433245.2242
3,4501.524677669193,4976.515498869425,84157817963.47066,93037962787.10994
4,4481.2530413974055,4955.129696178991,70660420363.0195,78132509824.99881
5,4506.265234337281,5017.025130182181,69598653692.26744,77487270820.24608
6,4487.102413253804,5263.090776363145,78849876383.04727,92485978453.08795
7,4480.553976910727,4725.513621479372,77075278088.31827,81289117007.08554
8,4500.541408321371,4898.259565227882,79001842302.08632,85983328363.85416
9,4508.518496935655,5056.460646657413,78655627223.09492,88215027610.96718
