c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4495.080344429765,4750.468925977643,74808300307.97005,79058543738.50961
1,4481.346229764664,5156.38425295355,78037804737.42348,89792862870.19287
2,4500.105140551925,4926.833827939439,83603605816.41904,91531433246.36395
3,4501.5246776396525,4976.515498909546,84157817962.9184,93037962787.86003
4,4481.253041407271,4955.129696173014,70660420363.17505,78132509824.90457
5,4506.265234327656,5017.025130218044,69598653692.11877,77487270820.79999
6,4487.102413259214,5263.090776269239,78849876383.14233,92485978451.43777
7,4480.553976907495,4725.513621496073,77075278088.26266,81289117007.37283
8,4500.541408299687,4898.259565216639,79001842301.70569,85983328363.6568
9,4508.518496926574,5056.460646619323,78655627222.9365,88215027610.30264
