n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4494.108209160168,376399538.95000076
ARGENTINA,4486.335331974193,376300348.63999933
BRAZIL,4499.9265145959325,377975827.52
CANADA,4494.617948824617,378186143.45000094
CHINA,4490.358629203044,377396681.34999907
EGYPT,4498.39791170246,378324261.1700003
ETHIOPIA,4516.15445525153,380278269.7499998
FRANCE,4488.146962512016,378202680.09000003
GERMANY,4489.808123181439,378046333.7800004
INDIA,4508.444983469303,379097104.8799998
INDONESIA,4495.8195193358415,378530020.25000054
IRAN,4506.704624076209,379311301.38999826
IRAQ,4518.858281435985,379638321.94
JAPAN,4501.914015413121,376787693.5200012
JORDAN,4514.285705918916,377683199.3000002
KENYA,4497.202777877532,375673834.04999965
MOROCCO,4503.9104761054,378112292.29000056
MOZAMBIQUE,4511.261045354048,377479767.96999997
PERU,4482.699799603752,375578520.01000077
ROMANIA,4473.8597749253495,376077126.5399998
RUSSIA,4509.5095518727485,378771745.29999965
SAUDI ARABIA,4508.584619425395,378504695.9700008
UNITED KINGDOM,4485.50468417761,380133065.4699999
UNITED STATES,4509.533622811635,378133413.3400012
VIETNAM,4495.324315088038,377787055.4399987
