a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,1781820,39.075,1817273.9994835854,39.85249998867512,8265278606.203125,181256.10978515624
10,40016132768,38.52418774923188,40941592955.84126,39.4151434604581,185319646363547.6,178410.26496792544
11,1366019566,38.27060488149982,1416369526.6596584,39.681216777672944,6338416492073.605,177578.00779738693
12,849685785,39.02579769178547,863166056.3448911,39.64494226454785,3869156141003.772,177709.1101938849
13,21145644198,38.5927027027027,21575979629.511333,39.37810357369281,96992395942129.88,177019.8470175473
14,2155927749,38.62536997885835,2202892950.8270254,39.466793490171305,9879133988007.855,176993.5033929181
15,241212272,38.767343485617594,245903548.54987144,39.521319756753954,1104685852342.1602,177543.76892337704
16,124277875,38.20864991233197,129664548.5055461,39.864757422743175,570483663315.1763,175392.5272081956
2,21029025,39.02002861230329,21464177.377354436,39.827467769139226,93835540389.19922,174114.84701917917
3,86518058,39.12241992882562,88439125.1217402,39.99110325789643,391499898557.2793,177031.52136690947
4,315649185,38.56958287190845,324784991.0103318,39.68589884470963,1475719976680.0312,180320.13590116278
5,188309693,38.56131178707224,191485052.83333123,39.211549375050424,880382127662.689,180281.15906156242
6,618410496,38.275555555555556,632484441.3500175,39.14664050740354,2856679162020.75,176809.71244434232
7,1043027328,38.73160790707153,1067296360.3245316,39.632810223678334,4684727232562.5625,173961.90248544808
8,130198033,38.26039886039886,133822217.70043652,39.32541304676876,604621505320.2734,177675.95577368233
9,80308323017,38.5459315765141,81976687384.36783,39.346703605281796,369088117087567.0,177152.8127159396
