n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4495.663787872471,430900382.74000067
ARGENTINA,4482.545070959379,429244033.44999915
BRAZIL,4497.593672148884,432349182.11000013
CANADA,4498.01213914331,431687719.0300009
CHINA,4496.779486036768,431861708.2799991
EGYPT,4498.108816933645,432448181.6600006
ETHIOPIA,4508.052452981232,433607025.18999976
FRANCE,4492.227134892703,432695809.8600001
GERMANY,4495.119955128076,432763178.5600004
INDIA,4508.122056158197,434289938.2799999
INDONESIA,4495.570175086769,432644682.51000047
IRAN,4501.3226382408075,433148773.50999814
IRAQ,4517.708010070579,433352105.45000017
JAPAN,4503.067515826277,430353659.4200014
JORDAN,4516.633156208786,431455898.8800005
KENYA,4501.071657592756,429906356.1599993
MOROCCO,4500.749502670237,431495856.32000095
MOZAMBIQUE,4515.287748079232,431955002.4199998
PERU,4490.080291088932,430360725.6600009
ROMANIA,4475.817833071325,429915730.32
RUSSIA,4506.736090241228,432488928.89999944
SAUDI ARABIA,4509.2174592871315,432781164.090001
UNITED KINGDOM,4492.228798882968,434331141.4199997
UNITED STATES,4506.61198898659,432107477.3400013
VIETNAM,4493.279210148233,431606427.80999863
