c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4497.502948127898,4494.869155966566,3856463256814.2827,3854204865254.92
1,4485.876470098725,4483.516141621083,3873043919933.7285,3871006044856.1797
2,4500.116324276723,4516.666961710895,3875663082678.053,3889917090769.4365
3,4494.13851192153,4535.12248164487,3911629508316.592,3947301329492.6655
4,4499.206476108025,4523.598629261117,3931920248234.5044,3953236896267.8804
5,4495.875335358638,4484.814741674082,3858310955994.609,3848818875674.3877
6,4494.96733938313,4546.47764326688,3848341380998.839,3892441642250.3174
7,4492.340890260498,4486.378388725246,3928097429726.62,3922883825610.7476
8,4512.721732827665,4458.521949170089,3958259701368.107,3910719251906.309
9,4495.502542493333,4487.020315447911,3906209277025.416,3898838943306.0
10,4504.416361671765,4556.3336564841475,3933910466824.9126,3979252187721.217
11,4516.879833448436,4485.502259695663,3919061857620.105,3891837167786.975
12,4495.996334949493,4459.138703612103,3886368545826.446,3854508568986.6494
13,4506.758940865179,4499.283995085133,3822778447874.528,3816437957512.843
14,4504.546028531189,4408.740496549038,3852924454153.7295,3770978021665.4814
15,4497.91537270882,4542.272328345796,3917045180834.0737,3955673786514.0537
16,4511.572936161803,4503.37754964014,3816927440745.435,3809993895362.3335
17,4495.5868724295415,4508.481965197255,3897893270469.59,3909073945373.151
18,4498.8392078808565,4504.294116850605,3882067859447.197,3886774924049.6777
19,4480.234840134023,4489.418511666033,3862249086581.07,3870165999031.334
20,4509.268278463905,4501.010858003789,3897072268499.7007,3889935907942.4575
21,4499.240325140405,4461.68857526967,3880373431307.323,3847986894477.253
22,4512.022977524579,4552.940665404056,3854365307755.963,3889318967660.143
23,4491.599930615854,4516.423727971118,3913881499088.1797,3935512410724.7285
24,4504.493237530937,4535.360351940845,3913380698047.575,3940197204004.2744
