a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,1432524,38.54601226993865,1454662.800005436,39.14171779155731,6635550829.3828125,178547.81049894556
10,31275767552,38.649660149366454,31790235388.011932,39.28542414737486,144741125225395.2,178866.7629114887
11,1062029677,38.44355575868373,1085326539.1114087,39.286860081508514,4916387083997.814,177964.33102400255
12,661962158,39.07911576497964,669622164.4634712,39.531326326759945,3022079404498.743,178409.2783433205
13,16544118558,38.56835443037975,16813938639.170013,39.19737050557988,75827976988703.7,176773.4123752889
14,1670352908,38.68877551020408,1689369019.1498513,39.12922737629182,7655973332538.443,177327.9360044607
15,184195256,38.6646408839779,187715818.99517822,39.403646365845404,845399578512.6992,177458.81091888595
16,98637187,38.463306152705705,102122480.39610219,39.822386951778796,453359577293.978,176786.34954096496
2,16216443,39.240671641791046,16256226.599633507,39.33694029762062,70394576940.6914,170341.33065385962
3,66199292,39.23320895522388,67427956.5343493,39.96138067663745,296634209780.00684,175801.15412060183
4,249422823,38.40139534883721,257037857.49739015,39.57381392229435,1180440320361.983,181741.810483512
5,146661669,38.76625766871166,147089893.3093642,38.87944780237104,685969689338.8442,181318.5265867643
6,485958528,38.2470079787234,494393010.895031,38.910837741955085,2267250603387.0,178442.2886339553
7,817613216,38.66649364131845,837269584.8086548,39.59608093843873,3691519245373.8594,174579.0095301652
8,99683990,38.08148148148148,101971622.03566328,38.955407344627154,468386617455.16895,178934.01236038774
9,62480710130,38.56624751033027,63454564034.56142,39.167359287774424,286897207209984.6,177087.43515016732
