n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4485.078575505721,268727967.9300008
ARGENTINA,4485.986221988262,268445901.5099996
BRAZIL,4501.014984320793,269844850.34000015
CANADA,4500.447848919779,269347303.3099999
CHINA,4480.978729875958,269149987.40999943
EGYPT,4489.104621220971,269207115.03000045
ETHIOPIA,4512.165044236077,272855132.3899998
FRANCE,4483.745413488959,270441588.36
GERMANY,4488.417533456355,269991779.8900001
INDIA,4505.563116167065,271302483.03999984
INDONESIA,4506.178895012954,271434191.9200003
IRAN,4512.225304737002,271189253.0399986
IRAQ,4516.969680797916,271271131.1499997
JAPAN,4507.348214100449,269345607.2300005
JORDAN,4504.552431688059,269863231.62999994
KENYA,4493.933367576832,267281180.96999967
MOROCCO,4504.420955978215,269517523.4800005
MOZAMBIQUE,4515.168844237071,269989036.2099999
PERU,4483.687680471004,268070719.04000038
ROMANIA,4482.939091893146,269191526.5899996
RUSSIA,4507.959750603504,270770602.4199995
SAUDI ARABIA,4509.414587562505,269676520.5800005
UNITED KINGDOM,4482.881766946559,270680883.97000015
UNITED STATES,4516.118632970045,270994214.69000053
VIETNAM,4496.464462223102,269774378.33999944
