a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,84004571.11180758,15.057127237059522,6711303005.98291,1202.9457677135956,4039812539.3194923,724.1031126442143
AA,9372873758.040283,15.126828632010936,746475170970.6711,1204.7321110708463,456472867573.64813,736.6990126188276
AQ,982599.8008542061,15.220418861399146,77391589.50097656,1198.7916215027815,44815893.1025238,694.1958100084235
AS,503251686.3546715,14.94130044708471,40578742455.703125,1204.7633405608447,24901021529.966553,739.2993490266158
B6,310707108.2489605,14.922676572671508,25093037743.268066,1205.1712900259374,15401122487.342613,739.6868743361969
CO,1430192153.1512249,15.197279915850523,113432695144.93896,1205.3404264096102,69530533717.067,738.8342757079998
DH,20762434.00682926,14.831793184196464,1683836309.0527344,1202.8605068026334,1014804251.4289856,724.9326728594185
DL,11983745290.655834,15.07300836789837,957753460069.0366,1204.6505969432328,584232515453.1686,734.8405177712176
EV,1492267646.0272815,15.173455750183981,118448495366.0979,1204.390517946337,72007502603.94336,732.1760659697486
F9,46456766.98938489,14.59452054461044,3824401765.517578,1201.4462855420873,2247849453.7348366,706.1680603219867
FL,289732323.1455066,15.22020172294825,22939736386.133057,1205.0689114616166,14123073595.89331,741.9124892378235
HA,36034998.28389497,15.401585969744321,2813708582.7615967,1202.5968279448496,1681800370.5529976,718.8121055800449
HP,225307215.5830282,15.077722103060605,17986331719.541138,1203.6583498621592,10890035588.773256,728.7690714878803
MQ,2090166720.0308828,15.286958448979332,164494797322.4579,1203.0739498639305,99020103042.7431,724.2083544444245
NK,3217254.002167225,15.168571438789368,254710769.12548828,1200.8994301060268,150320542.28137207,708.7248575265068
NW,2252602488.757015,15.169573561824969,178726249604.4192,1203.5860762541229,107883244948.31512,726.512035967292
OH (1),137293950.68458056,14.988492924648071,11026161560.758667,1203.7350787518617,6704918222.5224495,731.9814080483619
OO,2827002748.560173,15.177331557768943,224397152924.3208,1204.7211458447953,137341048048.85497,737.3429770418842
TW,155006098.46157002,15.00179999628067,12438480484.518066,1203.8210001953125,7540015410.030746,729.7377604675293
TZ,2159369.8077378273,15.554729785468128,167446882.10229492,1206.1810789366027,102573723.70679855,738.8760135624859
UA,6830213062.177978,15.196541807003303,541168527604.6106,1204.0459176767615,328269234458.2939,730.3662565114347
US,5420823303.209196,15.257666187046931,427522712947.3041,1203.3225354659603,257556973427.78662,724.9301637227027
VX,4255985.213879108,15.167661741005247,338026602.34887695,1204.6736316586016,207409024.92674255,739.1731347800487
WN,22901528107.910995,15.05225866339451,1831862280999.377,1204.0098267413684,1112555695319.3252,731.2383708401708
XE,512435415.3391123,15.269350891211138,40412869303.78247,1204.2069370083423,24523444308.109722,730.7400405840392
YV,125815690.21278179,15.261391543160249,9947047380.19519,1206.5727614003347,6184857656.258045,750.2206932317674
