a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,1048116,38.95762711864407,1055822.3978962898,39.24406771841696,4799809952.90625,178405.0681276483
10,22399288768,38.70088578635537,22633139936.715683,39.104927515769596,103910648560494.36,179534.01036870835
11,759845306,38.25874125874126,773418255.0786684,38.94214871394089,3545851019128.818,178536.07255539647
12,463788364,38.865400495458296,470401382.95667994,39.41957056565744,2130994603358.296,178577.05182353492
13,11832737787,38.495824634655534,11999043289.455164,39.036871649601295,54614175810234.33,177678.04648446123
14,1210369418,38.754156171284635,1217389927.545772,38.97894202533275,5532831785744.902,177152.7137958517
15,133037072,38.64373088685015,134349913.45052528,39.02507640918096,617793485221.8008,179452.57534351407
16,72671428,38.614141414141415,74495437.49229503,39.583333329239274,331752758261.9673,176277.64135939474
2,11562687,39.25916230366492,11557521.293161869,39.241623013431486,50158319445.15234,170304.15196539595
3,47566280,39.29778933680104,48385861.88300991,39.97490253932144,218101994400.25488,180189.12199729256
4,178057740,38.34743005855563,182477160.721663,39.29921921988781,833457122683.7974,179497.60970189745
5,104484457,38.641201716738195,104589830.30227494,38.68017163767835,491266242001.8579,181683.654189998
6,346756608,38.040778498609825,354290534.1473236,38.86728449498646,1629749602857.75,178790.9508288563
7,591930192,38.812162648434686,598254562.4717216,39.22684414080469,2638766315025.5312,173020.78656258434
8,69513150,38.26040554962647,70429715.1793038,38.76488787380296,327218936973.5713,180103.03420470085
9,44514056436,38.56130835662731,45021032799.824265,39.000488100290006,204438281919402.66,177099.28638670678
