n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4498.937033440307,53276412.35000011
ARGENTINA,4488.156267404779,53507799.01999977
BRAZIL,4509.4000406167215,54401402.09000013
CANADA,4475.344213342244,53534067.47999992
CHINA,4464.862155459381,53649783.65999992
EGYPT,4503.443843302423,53455878.41999977
ETHIOPIA,4471.741958168645,54304834.34000003
FRANCE,4446.969584155145,54110725.899999805
GERMANY,4495.209906448373,53816652.99999992
INDIA,4529.857148382867,55042294.210000224
INDONESIA,4528.920565592451,55651375.91000003
IRAN,4470.975547723673,53915494.12999977
IRAQ,4513.894028483379,54198325.59999993
JAPAN,4496.095501048197,53615938.84999974
JORDAN,4505.492109999989,54065905.31999987
KENYA,4560.89385207104,53955374.2700004
MOROCCO,4515.166995787694,53595032.23999993
MOZAMBIQUE,4535.124370849783,53954374.63999987
PERU,4467.02655546218,53157616.00999994
ROMANIA,4519.9088626930225,54446822.16000015
RUSSIA,4522.945264246135,54686931.19000001
SAUDI ARABIA,4502.909937919463,53674686.46
UNITED KINGDOM,4486.708479312627,53786661.24999977
UNITED STATES,4514.042828003032,53775792.21000012
VIETNAM,4481.913295763045,54477656.10999981
