a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,682860,38.896103896103895,688765.1962165833,39.23246731696191,3076821907.5234375,175257.57049005682
10,13490827200,38.55146987484234,13615896168.154793,38.90886771906772,62869952830056.7,179657.55966103324
11,457654622,38.05459317585302,466978291.49195254,38.829868749104776,2123920987358.3032,176606.86733231833
12,277705428,39.168867268936765,277994642.6369946,39.20965944865849,1269450895989.7324,179049.26816718423
13,7149443994,38.5102366391917,7202656225.809566,38.79686251398779,33131714318962.16,178462.8510631185
14,707306236,38.422222222222224,713456656.0266172,38.75632475517754,3252133303795.0645,176662.0766718416
15,77130760,38.712021136063406,78039326.37282848,39.168031690457696,360694570201.7656,181033.03824977294
16,41692732,38.34265734265734,42596087.190119505,39.17342656433999,195024844328.6245,179354.30039455174
2,6705387,38.482300884955755,6791045.103970528,38.97389382809664,29077167951.328125,166874.2349972345
3,29068632,39.1271186440678,29287890.2648468,39.42224584999731,136057621012.03418,183137.02136954616
4,104221479,38.03638368246968,108400126.04852879,39.56141119058498,501307993764.50977,182955.98351579727
5,61441512,38.645255474452554,60845943.39524102,38.27065693131328,296606593560.0249,186558.5206225764
6,207398400,38.38936669272869,210318873.43171692,38.92994523859285,958373754252.75,177394.6254199448
7,359540832,38.492361927144536,363059737.16324234,38.86909513537948,1618646812439.8906,173291.96962156196
8,40273030,38.89513108614232,39770247.235096864,38.409550499115205,188176220634.5752,181737.971264557
9,26686876998,38.4510443411283,26957984879.699306,38.8416625907358,123105530881400.58,177373.17959361148
