a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,128062972.2984407,15.205933417752924,10135964940.763428,1203.523588807124,6117654771.05855,726.397720214772
AA,14499892598.464085,15.37592859601715,1136407603029.0967,1205.0656266238325,696746231818.6267,738.8413560471486
AQ,1504268.997985363,15.035472952836269,120334928.95874023,1202.7719590470597,72077519.7375946,720.4293912681374
AS,774926579.1751976,15.163602777702938,61560004126.734375,1204.5934087911983,37679994848.779785,737.3143339088049
B6,495435316.9205055,15.429352862349075,38754094801.54126,1206.9196182270782,24219341815.856213,754.2634895175457
CO,2227009226.096507,15.52721997605532,172841386120.0,1205.0898540531036,105901172146.4248,738.367302825167
DH,32354938.000807762,15.049928367137909,2583714826.413574,1201.8172638026897,1538919997.501831,715.8300140949239
DL,18530358961.579678,15.422441786840418,1448440781075.5505,1205.5078735462894,891260316211.5986,741.7778777083438
EV,2322898846.399371,15.488269704506491,180669214746.7151,1204.6385616988794,110299341690.52269,735.437083272209
F9,72444658.47362638,15.198025993504201,5739973316.065063,1204.1779959710332,3483669775.1270485,730.8324024253702
FL,445145104.2627399,15.399218599552707,34809309118.00293,1204.1829849961541,21221189398.963356,734.1195744214334
HA,53768628.88491936,15.678416852094657,4130826430.0231934,1204.5093962163207,2519220601.311081,734.5805825600592
HP,348729155.3326784,15.386831082677663,27296248141.20569,1204.3809727893688,16626855696.152262,733.6198196238921
MQ,3200479919.789779,15.494557722320964,248707078275.4303,1204.0713508184028,151075784808.1003,731.4067036258137
NK,5065069.203207493,15.59365672629271,390250546.90356445,1201.4511197218255,230828975.941864,710.6453374891139
NW,3515833967.3109245,15.512006704922355,272919985618.9757,1204.1344062862195,165560838589.27087,730.4613534505451
OH (1),209599795.80853307,15.300775194421364,16503002894.890503,1204.7184318741813,10117047436.30783,738.5439850125133
OO,4359261232.756592,15.462099970537551,339736829783.95557,1205.0309777997043,208355621103.83932,739.0278469028132
TW,237125502.04058135,15.299653329499563,18671449928.185547,1204.7068265625,11411559354.15494,736.2890138982137
TZ,3098542.303712368,15.805502411281093,235702327.930542,1202.305260763214,138447862.1574402,706.2153118078788
UA,10527964211.56059,15.459337511334217,820215315698.6865,1204.4100020237388,499237345270.09155,733.0836678109105
US,8313744854.957771,15.557087479532177,643508773415.883,1204.1652055159436,391132327412.10706,731.9060110432122
VX,6733885.218705177,15.168867966663912,534564556.0932617,1204.1694961643818,326216232.77633667,734.8404083012035
WN,35396746308.840836,15.378609435983906,2772489741694.0557,1204.5467832204563,1692255460458.0342,735.22395434959
XE,780660292.6715446,15.511334235161414,60647710693.41992,1205.0400410960974,37172275737.38449,738.5947494152203
YV,195697425.03287327,15.600687382574646,15145757184.225586,1207.3956668760272,9513250226.713348,758.3811731515212
