a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,893760,38.431372549019606,908146.7971787453,39.04999987868702,4044222080.0625,173900.15824142157
10,17993371680,38.67510764066263,18137083687.344635,38.98400346364434,83802034031042.14,180124.81175273692
11,612657711,38.313067508882746,622450436.1417989,38.9254638481719,2841001091128.196,177664.40321062753
12,370387225,38.95077720207254,374721506.53186,39.40658027216637,1712008102969.2773,180038.73159204988
13,9468248625,38.570782224009655,9564408261.950298,38.96250751159416,43704868977902.84,178040.42228301393
14,964572870,38.666035950804165,972686106.3407531,38.99126455486902,4397129202117.964,176264.0865167854
15,104816768,38.73929961089494,106073021.52300358,39.20359919333272,488830461292.8242,180667.17816518346
16,58056540,38.46347607052897,59791012.36437583,39.61259443483665,268332005264.7163,177774.66007199997
2,9117075,39.026402640264024,9114839.09698534,39.01683167026381,40108969077.53906,171689.79927289605
3,38575592,39.46537842190016,38747158.05704117,39.64090182969343,177640915395.1123,181738.38911612445
4,140718180,38.21164889253487,145092587.74250615,39.3995077233514,667553193443.1211,181272.30074279636
5,84858081,38.89468085106383,83398636.1868298,38.22574467481451,400539107972.41064,183587.00302162982
6,276566400,38.20011668611435,281261375.59062195,38.84859971008334,1300776941487.375,179666.9116256518
7,468966064,38.68401991851516,471941108.14918137,38.929425025536716,2097345651100.4375,173005.61207170947
8,54045747,38.33975240715268,54652460.03399025,38.77015125991308,253787133850.33887,180035.18160166996
9,35498991490,38.522525347548864,35896088538.38699,38.953444099599444,163330092302010.16,177241.30620708183
