n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4497.50294814733,485028707.94000065
ARGENTINA,4485.8764701025875,483586455.2299991
BRAZIL,4500.11632435736,485976562.1
CANADA,4494.138511876095,485133264.08000076
CHINA,4498.839207829977,485622699.449999
EGYPT,4499.206476060882,486022280.37000066
ETHIOPIA,4495.875335317934,486300851.51999956
FRANCE,4494.96733939959,487070165.9300002
GERMANY,4492.3408902741285,485729866.4199999
INDIA,4512.721732802404,489580668.07000005
INDONESIA,4495.502542509003,486997790.4300003
IRAN,4504.416361653141,487292266.41999847
IRAQ,4516.87983346154,487384884.67000055
JAPAN,4495.996334945144,483499445.8600008
JORDAN,4506.758940881656,483773531.7500004
KENYA,4504.54602858577,484400861.7299993
MOROCCO,4497.915372753984,485383541.62000066
MOZAMBIQUE,4511.57293620256,486604722.1799996
PERU,4495.586872364688,485114283.81000113
ROMANIA,4480.234840140371,483869842.97000015
RUSSIA,4512.022977591111,486662286.3399996
SAUDI ARABIA,4509.268278365955,488110254.06000113
UNITED KINGDOM,4491.599930669364,487832668.4699996
UNITED STATES,4504.493237390771,486557341.5300015
VIETNAM,4499.240325180668,486201407.25999856
