c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4488.673765254449,4494.869155957036,1707847016731.022,1710204234047.816
1,4486.803122106397,4483.516141611625,1726308090085.8042,1725043416583.167
2,4501.190330266884,4516.666961708047,1721583881717.9243,1727503275762.036
3,4502.8322634527485,4535.122481641709,1733482344449.3208,1745913303422.2534
4,4486.089342874077,4523.598629275559,1740804269890.211,1755359558681.3164
5,4511.808547489567,4484.814741668663,1730304556955.8652,1719952276993.2148
6,4483.93761497441,4546.477643266983,1710798374021.63,1734659852012.958
7,4480.094239998215,4486.378388731894,1741782350864.462,1744225518076.6174
8,4498.941019355238,4458.521949163784,1752096226337.292,1736355166374.5503
9,4513.11380972997,4487.020315443357,1751377001972.165,1741251056179.231
10,4512.609304989305,4556.3336564958545,1760749014033.7432,1777809566720.9214
11,4516.013393573131,4485.502259687922,1744162368665.2637,1732378441801.0024
12,4511.806174695271,4459.138703613417,1737136515742.4082,1716858475492.9788
13,4500.106491337049,4499.283995077118,1706054515383.8027,1705742695327.801
14,4486.5528328979135,4408.740496545444,1695550877097.3525,1666144163287.1409
15,4509.887800676163,4542.2723283328005,1737451097091.9883,1749927357165.996
16,4513.515092851176,4503.377549628367,1687815482588.5996,1684024578591.4097
17,4483.569698005417,4508.481965192139,1718703720229.875,1728253433778.9312
18,4474.328993125615,4504.294116854873,1719929756203.726,1731448334303.249
19,4489.484256796566,4489.418511679626,1716893719574.9492,1716868576959.025
20,4506.1237672133475,4501.010858005753,1721206474595.8315,1719253493966.1904
21,4501.238311857792,4461.688575261928,1728860930283.8447,1713670444984.8372
22,4518.524826223139,4552.940665400931,1718370772119.5913,1731458931290.0076
23,4492.046961791176,4516.423727957119,1741546073939.7766,1750996834756.1145
24,4515.196072538741,4535.360351942353,1743408866602.6763,1751194704235.4473
