n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4485.45848816183,106659717.39000016
ARGENTINA,4495.518438983757,107937397.72
BRAZIL,4505.921051926313,107601394.72000037
CANADA,4492.540488041919,106320463.19000006
CHINA,4450.92104218671,106982338.16999976
EGYPT,4485.228812730002,107250791.3699998
ETHIOPIA,4501.009395251047,109185485.9099999
FRANCE,4472.09182777894,108023378.10000029
GERMANY,4467.484937979668,107688724.4299999
INDIA,4510.35246232821,108952074.08000025
INDONESIA,4520.819175680096,110344154.43999979
IRAN,4503.809423275822,108861577.5699999
IRAQ,4519.039694482441,109012794.54999992
JAPAN,4499.699641467604,107556320.53000014
JORDAN,4523.834448835265,108752980.14999977
KENYA,4517.513543781343,107259324.07000044
MOROCCO,4515.392472910538,107511494.77999993
MOZAMBIQUE,4519.56284749318,107723780.46999994
PERU,4467.000179566054,107467090.32000011
ROMANIA,4505.119790899957,107726424.43999976
RUSSIA,4526.944477970745,109221589.42000015
SAUDI ARABIA,4496.250185892329,107150138.18000008
UNITED KINGDOM,4475.277004023396,107894453.29000007
UNITED STATES,4516.601954915326,108795907.89000037
VIETNAM,4496.280666108421,107393663.70999964
