a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,26437600.162659883,14.985492206813964,2123785208.9609375,1203.814510470639,1282252555.0446358,726.8127800014147
AA,2942796343.059327,14.654650968658181,241697206444.38574,1203.6130902826758,146278494756.64914,728.4433018734971
AQ,286049.39950037,13.019999977258536,26415477.37524414,1202.343075796274,15116238.833007812,688.0400015024038
AS,165731660.77371216,14.898438558397208,13398806734.828125,1204.4849967878852,8173151231.732422,734.7249818531251
B6,97942109.0265317,14.366637529139956,8207371676.81958,1203.8982529552743,4966832160.085411,728.5597382091539
CO,452339615.0202936,14.695411717168916,37055629997.85156,1203.8471121594632,22412102307.68856,728.114584534054
DH,7101401.9995594025,15.269205297065886,560345632.8271484,1204.837087871223,347085353.1575775,746.291720042955
DL,3833968892.839612,14.688301157607707,314048209877.7323,1203.148698808364,188784112350.01935,723.2499724104396
EV,488604615.9450288,14.961374418147932,39216838496.96167,1200.8437601725261,23000839605.87018,704.299881837191
F9,16160471.99813962,14.459137575337529,1340881056.9140625,1199.716423896304,771363268.9669418,690.1560565705662
FL,85736706.95008421,14.697676678479352,7038761313.686401,1206.6411422330666,4394253159.481373,753.2982602077901
HA,11595937.503172114,14.806733171132734,944647546.7384033,1206.2107234964346,584005005.8671646,745.7099773188185
HP,71246025.88084185,14.596012266013764,5881484239.218506,1204.9263806177307,3602325121.6516724,738.0002043866428
MQ,659985509.3585014,14.737280093929925,53847198086.09619,1202.3919149974363,32038545838.581276,715.4111978675419
NK,1165277.3997688293,15.022656247019768,93149957.12548828,1200.881254196167,54499458.319358826,702.6023401319981
NW,709167059.1183059,14.725871137789722,57854949883.00159,1201.3594338682276,34188461387.57454,709.9242277534129
OH (1),45056448.0046885,15.153439155015995,3579677763.4676514,1203.9215602975673,2186414477.24457,735.3375646727426
OO,906206298.0549407,14.775433526907353,73862444613.4607,1204.3059542440956,45162077730.6024,736.3547118109775
TW,50347379.368270636,14.502142848003478,4179108992.1379395,1203.757501220703,2542141752.8885994,732.2427364213127
TZ,722822.8014760017,14.819230799491589,59226304.888549805,1214.250961303711,39493176.8057251,809.6846155019907
UA,2141642496.6073537,14.694148739538988,175271189343.58154,1202.5634203889588,104605176650.88695,717.7127027824807
US,1742440393.7744317,14.810565568458868,141385740309.05627,1201.764367248396,83880225423.99738,712.9733579282758
VX,1428038.1997337341,15.043382350136252,114138635.13183594,1202.3705875172334,68661073.30361176,723.2963225140292
WN,7269667878.896073,14.547103503744248,601238658425.5538,1203.1197491097794,362380160313.24585,725.1475291029018
XE,165233238.07093287,14.873517544603734,13358516210.775635,1202.4706865912178,7924224469.73909,713.3013493776964
YV,39321011.563263535,14.856090637678465,3189842653.800171,1205.1722400006086,1966098199.2246895,742.8225238627144
