n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4493.622339268196,160265040.7300002
ARGENTINA,4484.279164513344,161393691.40999976
BRAZIL,4502.873807587328,161662175.44000024
CANADA,4504.3431038735225,160705953.25999954
CHINA,4468.4427703076435,161507395.48999947
EGYPT,4485.902550199127,161075302.87000006
ETHIOPIA,4505.091974964072,163030268.38999984
FRANCE,4489.4796019267,162177961.1400001
GERMANY,4474.4711062301385,161953481.68999988
INDIA,4498.806445796461,162676841.08000004
INDONESIA,4504.4180859267335,163555420.6999997
IRAN,4516.62826519669,164283319.8899992
IRAQ,4508.894282193972,162847734.7899997
JAPAN,4488.661901175565,161515521.19000036
JORDAN,4509.773482742287,161887338.7099999
KENYA,4485.758329413084,160195401.46000004
MOROCCO,4516.211332290593,161693914.3300001
MOZAMBIQUE,4507.519235883196,160688553.24000007
PERU,4471.472642398051,161402276.50000006
ROMANIA,4499.19142209488,161763928.38999933
RUSSIA,4528.590395444218,163418713.01000005
SAUDI ARABIA,4501.729440315201,161107893.2100004
UNITED KINGDOM,4484.893256212512,162249983.33000004
UNITED STATES,4523.550723341831,163408746.3300003
VIETNAM,4490.845385107129,161567144.41999918
