a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,99639032.802073,15.111229190324018,7932557363.367065,1203.049538039456,4781102543.210388,725.1007389484624
AA,11155991545.371685,15.241393187039735,881885978396.1985,1204.8387530779426,539744103155.7224,737.4021451276045
AQ,1154743.1996293068,14.98421052150559,92479368.75048828,1200.033332690858,54134857.35977173,702.4662275481643
AS,596549849.7268028,15.034697376625548,47810949236.015625,1204.9674530668226,29404182464.041016,741.06629170453
B6,371598666.23760414,15.10810941000361,29671539892.509277,1206.3575889496906,18430005051.131477,749.3098281503907
CO,1697762481.9419754,15.310006822310498,133638160932.86255,1205.1162499850084,81835255720.49855,737.9703207678597
DH,24786762.011675835,15.056407864903377,1977798438.6767578,1201.3888685121171,1173076365.391388,712.5705328389124
DL,14163950603.204035,15.188069411186225,1123666191231.2493,1204.912427720758,686996079687.7365,736.669057653297
EV,1770450420.5021975,15.256807837775645,139790123300.04272,1204.6375454008758,85317485358.01758,735.2210851181504
F9,56091176.96421504,14.893723329925304,4527445179.677124,1202.1590479467789,2680932479.154854,711.8600245492622
FL,342106554.03904414,15.25226586276791,27023812238.68347,1204.812839811542,16590475467.705593,739.6594412929462
HA,42370334.98314996,15.46329293754257,3294413362.7523193,1202.3147540809593,1963605576.2019997,716.6289398155294
HP,266104148.60312325,15.155429209935658,21134961961.973022,1203.6994595942408,12799421999.831408,728.965463578125
MQ,2473901070.3388095,15.365935825949343,193862461750.82703,1204.1217743261655,117975451255.2349,732.7711017874633
NK,3952392.601820469,15.830339813116685,299873101.10302734,1201.068205898248,176317093.9220581,706.1949034014951
NW,2662915095.531618,15.252892634814142,210129458660.8407,1203.5990474287219,126825379988.69681,726.4422014742863
OH (1),162216191.753824,15.102489935439483,12937490221.726318,1204.49329842477,7923907130.7957,737.7236908249522
OO,3345353530.547695,15.293824958327908,263629305724.83618,1205.224027542782,162052196387.43195,740.8478365681739
TW,181934246.61959267,15.106348654957118,14504332017.22168,1204.3224435778784,8830169798.693401,733.1858962235094
TZ,2575138.304383278,16.34136907543455,189869162.37939453,1204.8758908226378,114601932.35708237,727.2434533777691
UA,8104908170.694394,15.287297638955083,638515556621.6858,1204.3538502352324,388353112912.94183,732.5030094210465
US,6393708157.903866,15.368650771373263,500762032659.8312,1203.6890970693055,303004031813.5363,728.3352684003335
VX,5167712.818405628,15.360166029811401,405187045.65112305,1204.351037496353,247186439.61514282,734.7205400585634
WN,27208402742.037064,15.187688220735094,2157614648271.7283,1204.3771510267136,1315203996605.6284,734.1448315247748
XE,604081273.2208562,15.390959385126664,47276568592.485596,1204.5262439530609,28818312227.966938,734.2413888840691
YV,149468880.99240243,15.36969930530973,11735935587.34253,1206.7916735999843,7328232177.177498,753.5530088596742
