a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,113031207.17170691,15.197009405118918,8946540461.487793,1202.8594840181406,5366377919.379511,721.5077831412084
AA,12817555194.847816,15.284057131050147,1010480543740.4507,1204.9288749348768,618585792941.7087,737.6212121620038
AQ,1357238.997985363,14.983208932983342,108817139.5834961,1201.2843281760145,64351143.94326782,710.4029844483333
AS,687058304.1145592,15.057431316645049,54953225288.453125,1204.3438096209024,33568294091.901855,735.6759676417149
B6,431588788.722209,15.27976390955621,34077510621.628906,1206.463954880507,21201843307.88052,750.6199620035406
CO,1963954537.928747,15.424957907729967,153432344000.47607,1205.062236515758,93940081475.61894,737.8082204175323
DH,28638302.01534748,15.082157347904214,2282595546.6015625,1202.112652384935,1368081329.647522,720.4902674542726
DL,16424624896.451502,15.347182502135974,1290028653777.3455,1205.4037950530656,792703800424.5953,740.7030584839365
EV,2032954386.341325,15.36086152914079,159427654613.77466,1204.6242369683487,97283393349.12563,735.0665338882612
F9,63855161.96695089,15.031658555159114,5111097417.185669,1203.1646127067083,3065434941.7733574,721.6107507743815
FL,394005872.2223494,15.334637363507197,30946141638.932007,1204.4182416777558,18910113424.898293,735.978198086246
HA,48555681.288551286,15.59730238026216,3745860249.2662354,1203.2642407961741,2257446730.405964,725.1484960582355
HP,306738375.06028515,15.318619130600842,24119359858.38562,1204.5290625012171,14731963146.219198,735.7192670745127
MQ,2830210890.2188897,15.399604320703006,221308076034.67712,1204.1706205315684,134657835876.70955,732.6935947953735
NK,4494823.203785419,15.61515790788751,345303526.97753906,1199.595369037829,199954851.32826233,694.6494748246042
NW,3080889906.7591496,15.380637000881428,241118419519.11072,1203.7284671268208,145636044887.2984,727.0545876181228
OH (1),187591907.70037508,15.297273893552074,14774527659.766113,1204.7960865150437,9061919107.229622,738.9586271808421
OO,3858024903.0041256,15.386907035101846,302162846779.6211,1205.111877126414,185601513555.3257,740.231933813139
TW,207473706.80668414,15.170534897981796,16474282654.495483,1204.6041099661318,10064316252.43469,735.9055915174257
TZ,2856866.604964733,16.03000002785733,214493679.04504395,1203.5331559030633,127889546.53883362,717.5936849895277
UA,9275670497.794088,15.343549492676509,728054488383.5815,1204.3269625128876,442971158776.6792,732.7502524086667
US,7368004209.34444,15.474093981697418,573318401421.6938,1204.068642331185,348367427466.71936,731.6323606256194
VX,5919319.216042519,15.116577581075848,471560423.9147949,1204.2566842743845,287541309.16781616,734.3142596566104
WN,31243572220.672287,15.275851230337974,2463398667965.9746,1204.4241070476173,1502088702469.435,734.412934335098
XE,687943188.302957,15.38545120830175,53868928824.698975,1204.7474125303777,32910970555.25027,736.034806805401
YV,172115840.17434704,15.525803176583493,13382088498.24768,1207.13858704088,8393350820.255161,757.1267856305058
