a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,56903334.33621669,15.024296041083547,4554315862.103638,1202.4847150880871,2723276359.567688,719.031858240129
AA,6293337098.4910755,14.900038323201757,508550416021.4233,1204.0385838883803,308759611213.3314,731.0159884552444
AQ,672890.399661541,15.081818174232136,53567828.4597168,1200.6416635224314,30993078.992263794,694.6628786144835
AS,346500108.87859344,14.84370754138045,28128997842.515625,1205.0172762073232,17295866027.58911,740.9370745057545
B6,208437036.4174466,14.514054713656456,17284472721.851562,1203.56625239687,10451633145.83429,727.7764927625261
CO,968536270.1195067,15.089783891842266,77321856796.32324,1204.673635018879,47057411640.62809,733.15392936077
DH,14260092.003965378,14.887138267805339,1153862556.977539,1204.600322563932,705925527.8366852,736.9665593150345
DL,8106393280.567929,14.937659021421082,653368727622.8911,1203.9632091235928,396017519263.941,729.7418795920254
EV,1024528124.5813887,15.018547941119714,82145200289.21704,1204.165702313506,49807848053.34715,730.1327663785142
F9,32456348.98697734,14.564572599717444,2674209042.7459717,1200.0336749374437,1552438521.2302494,696.6465500518296
FL,191266148.80323124,15.080320570156815,15280242148.316528,1204.765984091075,9348878433.919834,737.1094395798015
HA,24103730.687061265,14.869759028162584,1951654382.0463867,1203.9891560382155,1183495153.7204132,730.1063878990082
HP,151874632.5782684,14.997387863780078,12202969047.043701,1205.0245441344643,7523223279.145605,742.9068014042433
MQ,1410202904.191625,15.074121448848894,112474787728.00598,1202.2799024920134,67009598369.75728,716.2875789447739
NK,2322313.1994509697,15.14703556954154,184279328.3474121,1201.9419008036375,109685575.79722595,715.4122529463334
NW,1508767122.199347,15.006235234560206,120975344224.64209,1203.2237754296814,72962094845.53912,725.6828057483282
OH (1),92205251.95592809,14.951530605098423,7422558179.15918,1203.603953458825,4515367960.885134,732.1889027831505
OO,1883128700.393238,14.841492036828518,152783189391.4983,1204.1293238437052,93011401066.90187,733.0502519452995
TW,105337357.78612256,14.740832863411095,8608176028.38916,1204.621862178734,5264388497.0797,736.6946788344375
TZ,1435655.9037570953,15.46010105055992,111943217.88244629,1205.4792905865293,68042285.4982109,732.7247474554813
UA,4585639149.579806,15.046930855847283,366778857740.0134,1203.5173138964367,221233961966.1696,725.9385267973247
US,3688424585.341788,15.151421706629696,292769185197.1758,1202.6460850677063,175150934251.8343,719.490287996169
VX,2768337.8075885773,15.023106101787452,222265396.68969727,1206.1810621781783,138855024.43012238,753.5329536235694
WN,15484060928.93306,14.904399084453685,1250758611674.4834,1203.9351687050134,759324267902.1285,730.8981781502052
XE,350195080.2106066,15.095192006496738,27908469743.39258,1202.9972240919449,16678039206.013542,718.9084551252062
YV,84787758.91260302,15.168410465031323,6745161815.800171,1206.6999338970018,4206997724.198658,752.6259583281959
