a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,457596,39.35294117647059,472643.9960861206,40.64705848693848,2191281495.4453125,188448.70101868873
10,9089018304,38.601586157173756,9128548611.057793,38.76947365642539,42679661177428.22,181262.98825632548
11,302512647,37.70180959874115,310430411.0236926,38.68859158828561,1413068858421.355,176109.1761896237
12,181776738,39.45882352941177,180276466.27434972,39.13315503123132,829624259321.0381,180089.0345180899
13,4754177625,38.44810379241517,4773897742.266306,38.60758481631855,22179739180606.33,179372.539557701
14,468094367,38.28893178893179,470922553.0460954,38.52027023314202,2168640081801.622,177389.25742476573
15,52679480,39.01559454191033,52092017.573204994,38.58050680276711,242845799572.08594,179857.0003407499
16,27478955,38.444148936170215,28033096.501812935,39.21941489615339,126372522756.10156,176800.17621758644
2,4790223,39.57324840764331,4722760.507352829,39.01592362762257,20021749962.878906,165404.75982782643
3,19980356,39.30030959752322,19917710.8342247,39.17708985059992,90500272756.91992,178009.27761283377
4,70126473,38.054098360655736,72881926.92072666,39.549344165012485,341608335501.72363,185373.60634125257
5,39545198,38.373873873873876,39126489.60420561,37.96756757164861,189834079708.65723,184211.21653513866
6,140684544,38.548611111111114,141642124.72517395,38.810995349867476,647325109406.25,177371.89314100478
7,232378384,38.42377495462795,232862425.4196968,38.50381122245546,1039068367173.5938,171809.99547165664
8,27778114,39.357142857142854,27236357.351274252,38.58956037052385,125998473500.49805,178519.67636611435
9,17679565973,38.35471737540487,17810804684.904243,38.6394315879306,82083159613060.53,178074.303014406
