a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,41418175.65684819,15.01999998435131,3317640637.7194824,1203.1182333930421,1992078628.1957397,722.4128173153704
AA,4619788963.772787,14.803423232582103,375767279552.49664,1204.0900828571241,228420378788.9793,731.9389627266719
AQ,514368.399661541,15.067326722758832,41148390.333984375,1205.3544535117574,24640639.349456787,721.7950480243948
AS,254809766.3647995,14.733930128968959,20838473753.96875,1204.9483843007984,12783372335.593506,739.1761999246855
B6,152125890.60580635,14.426990382486922,12706250998.596924,1205.0083008501774,7799166635.346443,739.6407119884524
CO,718037359.1267222,14.945380580065445,57861254845.07202,1204.3363252734887,35129940491.29604,731.2019684268421
DH,11013771.990013123,15.281623917767126,868851523.203125,1205.53269397703,537296759.1246796,745.4999987854917
DL,5959909694.042945,14.81562699261039,484266254221.32275,1203.828339013765,293132367601.98175,728.6922186409254
EV,760373214.925231,15.000712478555188,61028590812.889404,1203.977633333085,36948882547.67592,728.9309415720195
F9,24443356.465090513,14.354043106184495,2042912835.2416992,1199.673986717697,1183253115.2979755,694.8499992941267
FL,138420958.177819,14.992232424330638,11137234199.630127,1206.2624466922305,6932532786.736065,750.8555365909494
HA,17921899.791345075,15.11795715909126,1429049551.6966553,1205.4698526548987,879197051.2677841,741.6436600033102
HP,109522004.82015455,14.727449653692693,8959678493.953735,1204.810066704462,5501167542.338167,739.7432885688423
MQ,1055403539.2508626,14.971760144111753,84723241977.41089,1201.8682999847629,50163054417.494774,711.6038471576912
NK,1738674.600953579,15.100526324071382,138583049.78466797,1203.604740182977,83364814.0802536,724.029998959993
NW,1101731531.8699067,14.899015194355,88923567596.72607,1202.5375932657955,53315641785.65726,721.0019265883128
OH (1),66816557.07768273,14.876269697307913,5418263228.771118,1206.340892250609,3388012054.3871555,754.3187386952014
OO,1374757655.7252965,14.730484327540891,112437381147.14331,1204.7629441597296,69009799682.97208,739.4377972315746
TW,78350934.21517491,14.661562261153632,6436651128.81897,1204.470147341605,3922627402.0251083,734.0288467289216
TZ,1044603.7012076378,15.049324341722437,83777329.16259766,1206.9574304529137,51679625.98694992,744.5344607121235
UA,3333089592.814615,14.875285454832607,269497258373.2837,1202.7425414064899,161193739059.4127,719.3934682133008
US,2708469123.3872156,15.063819980950992,216236527258.60583,1202.6528535263478,129402484249.2477,719.7038766241209
VX,2161706.005990982,15.485000042915344,168197757.82958984,1204.854998779297,103243134.29828644,739.5639992713928
WN,11356091116.419132,14.753100134853156,926446466480.4296,1203.579413853498,560903346319.7642,728.689401079677
XE,257237675.2463026,15.05806311695958,20550747597.796143,1202.9904022885455,12259108792.57286,717.6181862920549
YV,62173790.851822495,15.145296791917113,4950333318.152832,1205.8821940104167,3068281333.562504,747.4215549869624
