a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,71542036.40919232,15.070282394221874,5708257723.985352,1202.4406935724887,3418539904.296051,720.1131575147361
AA,7825020272.206469,15.03012063369542,626969513097.9299,1204.2687542909057,381554568473.4723,732.8813208143688
AQ,844831.0000805855,15.14848484992981,66941778.626708984,1200.3187847715435,39029840.112838745,699.8357560128877
AS,428655296.1505699,14.984292507903314,34471623571.515625,1205.0076027440168,21219813479.09497,741.7705904704842
B6,257490851.66684675,14.664869439686788,21150964009.138184,1204.6102753151226,12915161376.684258,735.5568330117345
CO,1200963790.140552,15.129308977147907,95676307007.7185,1205.295632054675,58624823136.19984,738.5343923270276
DH,17814720.00073433,14.96507115197521,1433371016.7895508,1204.088487079813,873053103.1164551,733.3992230611508
DL,10059353169.911724,15.039866754107821,805589773003.0702,1204.4475066923678,490265836198.19385,733.002681779468
EV,1264699203.438967,15.115446291977623,100742260252.53198,1204.052489349944,61060862934.71016,729.787914566327
F9,39436591.48697734,14.5132601303426,3263307772.1813965,1200.946450929384,1909285545.2979755,702.6458610441234
FL,239268472.28168964,15.041143058841856,19165492217.440796,1204.8010650407266,11773472659.350227,740.1162588615811
HA,29905898.408666566,15.251792833105146,2359580616.798706,1203.3691229953233,1421252398.0175743,724.8284884107065
HP,186116386.23447835,14.976064243709228,14969863154.062988,1204.5668672737827,9164675337.248594,737.4459036103215
MQ,1739844179.532963,15.120631990674454,138384137440.78674,1202.6683999659906,82827540667.65175,719.837314088883
NK,2802507.5997977257,15.364119600219981,219276070.76220703,1202.1318967698817,130713897.13407898,716.6096352865529
NW,1879020967.4358354,15.129700445627392,149415700858.5652,1203.0811976241337,89837839520.86456,723.3658507216426
OH (1),115254598.4953115,15.051104262356398,9217301317.211426,1203.6878784367777,5607589200.188976,732.2953774893535
OO,2343659043.367881,15.009183789100694,188085158293.17407,1204.5287546466816,114948637774.6056,736.1502670569998
TW,129424481.697438,14.806099290487051,10518509386.314453,1203.3124824541962,6353632384.92664,726.8525298513138
TZ,1785014.0049200058,15.534693920369051,138502547.04504395,1205.365711196588,83832999.56672287,729.5853058328433
UA,5692735083.529959,15.117862362599665,453243139886.14746,1203.651198422261,273924538920.39954,727.4453169476004
US,4568489744.227689,15.195832996963732,361755287240.53845,1203.2801294172925,217751092221.83307,724.2895174472588
VX,3456635.6093525887,15.098170772558305,275996878.0852051,1205.5213418355802,170624075.86816406,745.2655490782203
WN,19166203500.26824,14.99906527239372,1538576779242.1387,1204.0576287379586,934477207310.4023,731.3020874382742
XE,430625412.9526768,15.242209869398916,34006673141.97534,1203.6838361116459,20503764748.717976,725.7413891805943
YV,104150969.06212127,15.23916621863417,8247690538.535889,1206.7859585793935,5149203528.41988,753.4213955932048
