c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4495.6637878348565,4494.8691559610115,3426088943137.079,3425483364160.241
1,4482.545070945762,4483.516141614463,3437815463890.5996,3438560210838.7183
2,4497.593672097123,4516.666961709491,3447984727287.569,3462606859938.3193
3,4498.012139182265,4535.122481640858,3480698078569.042,3509415185969.7666
4,4498.108816972209,4523.598629266584,3498505789659.399,3518331067241.107
5,4508.052453007228,4484.814741672294,3440238137877.297,3422504701630.765
6,4492.227134872576,4546.477643263529,3418729593688.5435,3460015978579.689
7,4495.119955109293,4486.378388728343,3499755825000.0996,3492949922562.15
8,4508.122056187732,4458.521949166121,3511234151016.8027,3472602191301.0444
9,4495.570175071411,4487.020315445024,3470242998400.8584,3463643148025.8594
10,4501.322638247369,4556.33365648622,3496810048551.3125,3539544839371.2734
11,4517.708010028301,4485.502259692462,3484584279890.8413,3459743442215.356
12,4503.067515829784,4459.138703611847,3459182714420.6655,3425437320340.933
13,4516.633156211443,4499.283995078501,3409364512951.7695,3396268560225.3916
14,4501.071657545345,4408.740496545865,3419475156860.6167,3349330947822.6294
15,4500.749502621576,4542.272328338729,3482171560464.759,3514297232586.299
16,4515.287748053987,4503.377549631498,3388255038963.5347,3379317670611.441
17,4490.080291135461,4508.481965195872,3457948430713.9404,3472120123827.165
18,4496.779486080265,4504.294116852033,3452302496023.707,3458071686763.5186
19,4475.817833066878,4489.41851167069,3431587359410.83,3442014932318.612
20,4509.217459377761,4501.010858004532,3455324814164.0156,3449036256643.708
21,4493.279210115396,4461.6885752648,3444650900326.426,3420432795087.158
22,4506.736090134019,4552.9406654030145,3425312316806.512,3460429771566.7705
23,4492.228798837754,4516.423727965733,3484638747577.5854,3503406844954.117
24,4506.611989118508,4535.360351941274,3475440440347.3633,3497610803136.364
