n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4488.6737652811835,214796505.69000047
ARGENTINA,4486.803122189834,215546021.9899996
BRAZIL,4501.190330282121,215872587.05000025
CANADA,4502.832263435675,214992229.24999973
CHINA,4474.3289930541,215152583.95999944
EGYPT,4486.08934286787,215179761.42000026
ETHIOPIA,4511.808547489495,218087289.75999972
FRANCE,4483.937615034168,216529347.42999998
GERMANY,4480.094240041602,215380530.58999997
INDIA,4498.941019327782,216709489.95999992
INDONESIA,4513.113809760032,218348959.23000014
IRAN,4512.60930501529,218103432.929999
IRAQ,4516.013393641597,216908639.30999953
JAPAN,4511.80617473905,216115515.77000052
JORDAN,4500.106491443816,215901609.13999993
KENYA,4486.552832908889,213169584.75000006
MOROCCO,4509.887800749921,215297533.72000048
MOZAMBIQUE,4513.5150928198345,215172805.01999995
PERU,4483.569697954228,213902143.15000033
ROMANIA,4489.484256851231,215095680.22999936
RUSSIA,4518.52482641564,216966006.5899998
SAUDI ARABIA,4506.123767192016,215581973.27000046
UNITED KINGDOM,4492.0469619022,217069185.33999997
UNITED STATES,4515.196072447775,216761017.85000032
VIETNAM,4501.238311896086,216622093.75999916
