c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4485.720717333364,4494.869155970763,2559924668272.9736,2565145526908.592
1,4489.560106553409,4483.516141626635,2584005719706.3096,2580527062650.8687
2,4506.117715526675,4516.666961712469,2585580041527.5693,2591633128045.2974
3,4495.054536155452,4535.122481646232,2611534379561.418,2634813033096.3003
4,4493.825493768568,4523.59862925768,2619490291167.279,2636845312954.2803
5,4514.3277125315635,4484.814741675316,2592160297302.798,2575213731572.3896
6,4490.947005822741,4546.477643267601,2560486763635.568,2592147226778.2993
7,4491.4791319747765,4486.378388725621,2620783961836.424,2617807671463.468
8,4509.047346837246,4458.521949173861,2627978282899.426,2598530899099.527
9,4500.151155959887,4487.020315447562,2607012829675.6455,2599405914153.5483
10,4506.2759026568465,4556.3336564839,2628285559919.1587,2657481746390.578
11,4511.266978430787,4485.502259697502,2614092370856.196,2599162783447.613
12,4502.861835356648,4459.138703613917,2599163774501.6367,2573925696077.57
13,4509.564564019949,4499.283995087433,2555355673348.149,2549530164083.562
14,4494.865630386138,4408.740496550979,2555743245104.1694,2506773209705.3604
15,4499.197440781319,4542.272328347602,2612797648581.04,2637812324293.1895
16,4515.144980228573,4503.377549640822,2540092696970.7554,2533472673775.72
17,4482.612386364244,4508.481965197132,2584636648033.5776,2599552829884.1587
18,4481.32117183402,4504.294116849659,2575686872403.951,2588890816202.745
19,4479.590369127448,4489.4185116633635,2579444356144.7134,2585103611725.395
20,4512.813974538162,4501.010858002493,2588633420392.316,2581862934814.712
21,4501.634717504187,4461.688575273793,2591418014510.638,2568422556397.7144
22,4502.141559054912,4552.940665404366,2568620510197.9385,2597603078772.776
23,4485.4638721779975,4516.423727973689,2610272110676.0757,2628288897888.5
24,4509.626645920708,4535.360351938042,2610128456915.7993,2625022878040.1084
