c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4485.458488179027,4494.8691559945555,848051412971.1426,849830658093.7969
1,4495.518438953995,4483.516141661299,864470618333.7571,862162623493.3539
2,4505.921051933862,4516.666961715805,858121122893.4404,860167606190.0431
3,4492.540488068246,4535.122481676641,857261894705.9941,865387346355.9108
4,4485.228812656807,4523.598629255083,867658902169.139,875081469520.0277
5,4501.009395244382,4484.814741674016,866277645208.6565,863160774051.9933
6,4472.091827698346,4546.477643303904,853492710352.721,867689143212.1199
7,4467.484937864627,4486.378388716337,870878714442.9834,874561749622.279
8,4510.352462416566,4458.52194917314,880877518954.058,870754954411.1702
9,4520.81917559239,4487.020315455924,885070462746.0674,878453437906.2382
10,4503.809423325722,4556.333656508309,878839515732.3462,889088699770.9355
11,4519.039694501491,4485.502259697579,876571880980.2445,870066522696.9156
12,4499.699641406355,4459.138703621483,864537704408.3732,856744637573.7557
13,4523.83444871362,4499.283995128659,859366049122.19,854702344793.3401
14,4517.513543813097,4408.740496568353,853140663658.7803,832598675502.1182
15,4515.392472827034,4542.27232837378,867617762858.5542,872782638398.3381
16,4519.562847576016,4503.377549690904,844985334022.1667,841959302567.1478
17,4467.000179541974,4508.481965188041,863498070716.5461,871516750017.0984
18,4450.921042275293,4504.294116850407,855216811347.9988,865472115860.5753
19,4505.119790818822,4489.418511657796,859872319864.5924,856875486047.9762
20,4496.250185833614,4501.010858002124,855486703217.9492,856392500620.2762
21,4496.280666027259,4461.688575298312,857108830054.0355,850514671767.2024
22,4526.944477766871,4552.940665403387,865034988167.444,870002491518.7653
23,4475.277003919152,4516.423727988239,865637198725.5068,873596065836.6832
24,4516.601955011161,4535.360351945847,875045487177.8402,878679734948.1523
