c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4498.937033634412,4494.869155983753,423600754613.127,423217740574.5641
1,4488.156267341695,4483.516141650242,428543962345.15466,428100907841.0003
2,4509.400040742697,4516.666961709363,433851181679.87115,434550335052.84247
3,4475.344213233612,4535.1224816787035,431645186080.76184,437410776519.6532
4,4503.443843226102,4523.598629293902,432458056410.4691,434393486253.42365
5,4471.741958136355,4484.814741648552,430854555650.449,432114124825.9498
6,4446.969583953833,4546.477643326508,427528845316.54443,437095487255.5399
7,4495.209906337395,4486.378388736255,435215272800.25476,434360226779.6893
8,4529.857148525774,4458.521949147577,445016948701.89105,438008919150.0855
9,4528.920565656776,4487.020315434007,446379686180.45026,442249911706.78174
10,4470.975547717591,4556.333656571906,435259784110.8961,443569592929.0208
11,4513.8940283457,4485.502259667835,435808736136.3067,433067559505.5586
12,4496.095500901311,4459.1387036303195,430964916462.21857,427422491029.88257
13,4505.492109873296,4499.283995129017,427228783826.62537,426640105554.11395
14,4560.893852092383,4408.74049656804,429161046945.5915,414844052191.7769
15,4515.166995638637,4542.272328349619,432511910162.5211,435108354377.7055
16,4535.124370756084,4503.377549688915,423218114667.415,420255499166.6429
17,4467.026555511343,4508.481965160087,427121444645.0503,431085265821.7295
18,4464.862155506895,4504.294116867131,428876370582.60333,432664043277.55396
19,4519.908862705468,4489.418511699846,434594534482.3178,431662851498.4359
20,4502.909937836407,4501.010858007154,428538696688.73566,428357962628.723
21,4481.91329562549,4461.688575288461,434786173400.5644,432824192393.02997
22,4522.945263975839,4552.940665390747,433120494998.91644,435992876235.09705
23,4486.70847920902,4516.423727957851,431530383198.78326,434388387622.03723
24,4514.042828102713,4535.360351954584,432518696754.5821,434561262141.2116
