c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4493.622339237016,4494.869155971461,1274267338835.39,1274620901667.8389
1,4484.279164404462,4483.51614163088,1292602074471.3027,1292382131692.577
2,4502.8738075870715,4516.666961714509,1289255849133.9285,1293205083644.3076
3,4504.343103890411,4535.1224816427775,1295772101140.2346,1304626457494.1113
4,4485.902550163513,4523.598629252064,1303099200207.955,1314049444882.6807
5,4505.091974975169,4484.814741672871,1293482149409.4448,1287660239565.7334
6,4489.479601869516,4546.4776432637655,1281368070950.8196,1297636208201.9414
7,4474.47110616688,4486.3783887289255,1309717806408.5127,1313203174763.2114
8,4498.806445846805,4458.521949182175,1315242260146.5186,1303464942522.426
9,4504.418085845856,4487.020315448009,1311878029411.1426,1306811059092.0698
10,4516.628265194855,4556.333656480493,1326259241471.4248,1337918301955.6829
11,4508.894282095745,4485.502259698679,1309458635417.8608,1302665199197.9526
12,4488.661901142531,4459.138703615266,1298261759315.6685,1289722724920.4482
13,4509.773482568626,4499.283995084211,1279233750437.1587,1276258322410.2925
14,4485.758329409171,4408.740496551177,1274194223211.729,1252317057634.4946
15,4516.211332194863,4542.272328342525,1304869888615.4414,1312399697705.1946
16,4507.5192359286875,4503.377549633549,1260441011627.2812,1259282868757.4568
17,4471.472642435526,4508.481965201024,1296867291688.3694,1307601155902.7256
18,4468.442770386085,4504.294116847446,1291090119569.7202,1301448833235.3167
19,4499.191422040066,4489.418511662076,1291199676393.2437,1288394999389.3567
20,4501.7294402992475,4501.010858000136,1286285419384.085,1286080097863.4932
21,4490.845384977196,4461.688575275545,1289467379578.7056,1281095513753.9253
22,4528.590395255667,4552.940665405418,1294276206985.3125,1301235541466.4138
23,4484.89325606416,4516.4237279737745,1301731616213.5315,1310883274863.0168
24,4523.550723429933,4535.360351931378,1314296546757.79,1317727779191.539
