a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,256956,40.25,247767.59843444824,38.810714040483745,1329255371.296875,208216.69349888392
10,4514631392,38.375468975468976,4527692721.6175995,38.48649346584193,21210669980950.47,180295.8729355497
11,161252959,38.352852852852855,159583170.3854685,37.955705678465215,744889452768.6304,177166.58193960562
12,89962093,39.866812227074234,87318264.77227736,38.69519649426489,407948932084.9668,180783.07130612037
13,2386183761,38.65693722510996,2373211425.3516374,38.44678125430088,11199259585195.752,181431.57364007522
14,242854290,38.15822002472188,245039742.18510866,38.501606856936725,1126973843955.499,177074.5573395492
15,26330528,39.23137254901961,25810181.626857758,38.456078471389475,117849847071.41406,175591.28534390318
16,14350649,38.91237113402062,13801830.30308199,37.424226812480654,63897123835.390625,173259.6621295103
2,2423253,39.78481012658228,2346692.703529358,38.52784815921059,9840085506.955078,161553.88377670094
3,9963420,37.67857142857143,10085719.815461159,38.14107148704075,46360118407.82031,175319.6224655878
4,35079852,37.82410423452769,36242634.85275078,39.07785011192098,169649926499.72168,182921.42462019034
5,19572993,37.986486486486484,19130146.169952035,37.12702696871113,93078043958.60352,180642.16642912442
6,65843712,37.743341404358354,67993727.83232117,38.97578682882157,317760858162.0,182148.85203541163
7,117311488,38.44604316546763,116027844.61629486,38.02535965202524,516070768215.9531,169129.8897450399
8,14590975,39.192708333333336,14366632.659225702,38.59010405714313,65397279728.73047,175663.14178466797
9,8795306303,38.1816851348526,8807298387.602211,38.233744492721236,41382373661434.266,179646.81465780904
