c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4494.10820912962,4494.869155962347,2992752734171.113,2993259470014.628
1,4486.33533196068,4483.5161416163355,3013789492248.6777,3011895642233.52
2,4499.926514541823,4516.666961710769,3014357224435.7534,3025571115973.966
3,4494.617948853774,4535.122481638207,3049314874657.138,3076794646178.5664
4,4498.397911722791,4523.598629258879,3060643272879.1353,3077789467616.0557
5,4516.154455289345,4484.814741675396,3017127792221.7617,2996190527590.75
6,4488.146962491572,4546.477643257235,2988179375377.4785,3027015567389.9883
7,4489.80812314315,4486.3783887266745,3057260701252.79,3054925280237.0957
8,4508.444983490624,4458.521949172103,3065000092969.293,3031060651457.2207
9,4495.819519311599,4487.020315447069,3036189292408.8823,3030246872247.1187
10,4506.704624092926,4556.333656475659,3062180136132.814,3095901679880.2007
11,4518.858281399588,4485.50225969652,3052671746694.952,3030138403382.499
12,4501.914015431013,4459.138703610044,3028619480525.8057,2999842799713.4897
13,4514.285705902757,4499.283995075504,2984452640857.919,2974534815887.9043
14,4497.2027778382435,4408.740496545272,2988109676007.5923,2929332028711.8447
15,4503.910476033561,4542.2723283405685,3051366198731.6343,3077356071326.3984
16,4511.261045324441,4503.37754962873,2960951299937.247,2955776993552.903
17,4482.699799650281,4508.481965200572,3017773408311.6797,3035130076632.95
18,4490.3586292519285,4504.294116849328,3016909070744.736,3026271819337.6807
19,4473.859774908828,4489.418511664591,3001847624031.193,3012287145901.1353
20,4508.584619515266,4501.010858003194,3021981492684.724,3016905006591.8555
21,4495.324315064272,4461.688575265018,3015118489450.6895,2992558217072.7363
22,4509.509551778543,4552.940665405237,2999872222713.3286,3028764010140.376
23,4485.504684116097,4516.423727970387,3049807584223.9854,3070830220712.96
24,4509.533622977035,4535.3603519378385,3041327043605.1787,3058745148403.4526
