main.py:19: FutureWarning: Passing a negative integer is deprecated in version 1.0 and will not be supported in future version. Instead, use None to not limit the column width.
  pd.set_option('max_colwidth', -1)
2022-07-09 13:01:41,123 - main.py[line:581] - INFO: load query config config/query/customer_join_supplier.json successfully
2022-07-09 13:01:41,124 - main.py[line:588] - INFO: load train config ./config/train/tpch_customer_torch_cvae.json successfully
2022-07-09 13:01:41,130 - main.py[line:588] - INFO: load train config ./config/train/tpch_supplier_torch_cvae.json successfully
2022-07-09 13:01:41,130 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-customer_c_nationkey_c_acctbal_c_nationkey_binary_gaussian5_0
2022-07-09 13:01:42,836 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:1.7060093060135841
2022-07-09 13:01:42,836 - pytorch_cvae.py[line:276] - INFO: feature info:[('c_acctbal', 'numerical', 6), ('c_nationkey', 'categorical', 6)]
2022-07-09 13:01:42,848 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-customer_c_nationkey_ld100_id100_bs512_ep150_0_binary_gaussian5
2022-07-09 13:01:49,919 - model_utils.py[line:86] - INFO: load torch model time elapsed:7.071187227964401
2022-07-09 13:01:49,919 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:8.78914850205183
2022-07-09 13:01:49,919 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-supplier_s_nationkey_s_acctbal_s_nationkey_binary_gaussian5_0
2022-07-09 13:01:50,046 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.1269887313246727
2022-07-09 13:01:50,046 - pytorch_cvae.py[line:276] - INFO: feature info:[('s_acctbal', 'numerical', 6), ('s_nationkey', 'categorical', 6)]
2022-07-09 13:01:50,048 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-supplier_s_nationkey_ld100_id150_bs128_ep100_0_binary_gaussian5
2022-07-09 13:01:50,052 - model_utils.py[line:86] - INFO: load torch model time elapsed:0.0040626004338264465
2022-07-09 13:01:50,052 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:0.13310690969228745
2022-07-09 13:01:50,052 - main.py[line:525] - INFO: multi_sampling No.0 epoch
2022-07-09 13:01:50,053 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.09
2022-07-09 13:01:52,767 - pytorch_cvae.py[line:399] - INFO: sampling time:2.713703975081444
2022-07-09 13:01:53,967 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.1
2022-07-09 13:01:54,106 - pytorch_cvae.py[line:399] - INFO: sampling time:0.13808772340416908
