main.py:19: FutureWarning: Passing a negative integer is deprecated in version 1.0 and will not be supported in future version. Instead, use None to not limit the column width.
  pd.set_option('max_colwidth', -1)
2022-07-09 13:11:03,693 - main.py[line:581] - INFO: load query config config/query/customer_join_supplier.json successfully
2022-07-09 13:11:03,694 - main.py[line:588] - INFO: load train config ./config/train/tpch_customer_torch_cvae.json successfully
2022-07-09 13:11:03,705 - main.py[line:588] - INFO: load train config ./config/train/tpch_supplier_torch_cvae.json successfully
2022-07-09 13:11:03,705 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-customer_c_nationkey_c_acctbal_c_nationkey_binary_gaussian5_0
2022-07-09 13:11:05,403 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:1.6976685374975204
2022-07-09 13:11:05,403 - pytorch_cvae.py[line:276] - INFO: feature info:[('c_acctbal', 'numerical', 6), ('c_nationkey', 'categorical', 6)]
2022-07-09 13:11:05,415 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-customer_c_nationkey_ld100_id100_bs512_ep150_0_binary_gaussian5
2022-07-09 13:11:12,372 - model_utils.py[line:86] - INFO: load torch model time elapsed:6.957327101379633
2022-07-09 13:11:12,372 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:8.66711562499404
2022-07-09 13:11:12,372 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-supplier_s_nationkey_s_acctbal_s_nationkey_binary_gaussian5_0
2022-07-09 13:11:12,498 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.1254831813275814
2022-07-09 13:11:12,498 - pytorch_cvae.py[line:276] - INFO: feature info:[('s_acctbal', 'numerical', 6), ('s_nationkey', 'categorical', 6)]
2022-07-09 13:11:12,500 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-supplier_s_nationkey_ld100_id150_bs128_ep100_0_binary_gaussian5
2022-07-09 13:11:12,505 - model_utils.py[line:86] - INFO: load torch model time elapsed:0.0046241991221904755
2022-07-09 13:11:12,505 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:0.13286316767334938
2022-07-09 13:11:12,505 - main.py[line:525] - INFO: multi_sampling No.0 epoch
2022-07-09 13:11:12,506 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.09
2022-07-09 13:11:15,279 - pytorch_cvae.py[line:399] - INFO: sampling time:2.773007709532976
2022-07-09 13:11:16,440 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.1
2022-07-09 13:11:16,576 - pytorch_cvae.py[line:399] - INFO: sampling time:0.13639188185334206
