main.py:19: FutureWarning: Passing a negative integer is deprecated in version 1.0 and will not be supported in future version. Instead, use None to not limit the column width.
  pd.set_option('max_colwidth', -1)
2022-07-09 12:55:09,270 - main.py[line:581] - INFO: load query config config/query/customer_join_supplier.json successfully
2022-07-09 12:55:09,279 - main.py[line:588] - INFO: load train config ./config/train/tpch_customer_torch_cvae.json successfully
2022-07-09 12:55:09,298 - main.py[line:588] - INFO: load train config ./config/train/tpch_supplier_torch_cvae.json successfully
2022-07-09 12:55:09,298 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-customer_c_nationkey_c_acctbal_c_nationkey_binary_gaussian5_0
2022-07-09 12:55:11,932 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:2.6340864710509777
2022-07-09 12:55:11,932 - pytorch_cvae.py[line:276] - INFO: feature info:[('c_acctbal', 'numerical', 6), ('c_nationkey', 'categorical', 6)]
2022-07-09 12:55:11,944 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-customer_c_nationkey_ld100_id100_bs512_ep150_0_binary_gaussian5
2022-07-09 12:55:18,840 - model_utils.py[line:86] - INFO: load torch model time elapsed:6.896325007081032
2022-07-09 12:55:18,840 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:9.542510364204645
2022-07-09 12:55:18,841 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-supplier_s_nationkey_s_acctbal_s_nationkey_binary_gaussian5_0
2022-07-09 12:55:18,974 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.13331380859017372
2022-07-09 12:55:18,974 - pytorch_cvae.py[line:276] - INFO: feature info:[('s_acctbal', 'numerical', 6), ('s_nationkey', 'categorical', 6)]
2022-07-09 12:55:18,976 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-supplier_s_nationkey_ld100_id150_bs128_ep100_0_binary_gaussian5
2022-07-09 12:55:18,980 - model_utils.py[line:86] - INFO: load torch model time elapsed:0.004010159522294998
2022-07-09 12:55:18,980 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:0.13941866531968117
2022-07-09 12:55:18,980 - main.py[line:525] - INFO: multi_sampling No.0 epoch
2022-07-09 12:55:18,981 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.08
2022-07-09 12:55:21,598 - pytorch_cvae.py[line:399] - INFO: sampling time:2.6172770485281944
2022-07-09 12:55:22,657 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.1
2022-07-09 12:55:22,814 - pytorch_cvae.py[line:399] - INFO: sampling time:0.15744838491082191
