ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),sum(ss_wholesale_cost),sum(ss_list_price)
,50.610276089475015,75.89220187906533,5678979.079999992,8505770.310000004
1.0,50.46217168481743,75.68401923076921,472628.7,708402.4199999998
2.0,50.85943209069112,75.99515759624828,466584.43000000034,696799.6000000004
3.0,51.10569979930285,76.70209235971681,483817.66000000003,725831.9000000003
4.0,49.98600129268554,75.01173093494185,464020.04999999993,696408.9100000001
5.0,50.53555338964695,75.84869320640412,466645.29999999993,701145.3199999997
6.0,51.15873474153487,76.77125955008486,481966.44,723492.3499999997
7.0,50.089134936899995,75.0824018973696,464376.3699999999,696464.3600000005
8.0,50.58904281575277,76.07822048425109,471439.29000000004,710114.1099999996
9.0,50.20049534610036,75.18549668165274,469224.0300000001,702382.9099999999
10.0,50.4270670572917,75.71872011251766,464735.8500000003,699868.1300000007
11.0,50.53880287832534,75.8616481723238,463541.9,697320.2700000004
12.0,50.340615832614326,75.7760833512815,466758.19,703656.71
13.0,50.891069472779975,76.16333011168392,473948.5299999999,709232.9300000006
14.0,51.03704421368165,76.43983952070187,476737.03000000026,714483.1800000003
15.0,50.56313898955443,76.0013502559727,474383.3699999997,712588.66
16.0,50.33616389930367,75.49530743642026,469888.08999999973,703540.7700000005
17.0,50.40086320094716,75.42246925566342,468274.42000000004,699166.2899999998
18.0,50.71321271341138,76.17057192001718,472292.1500000002,708538.6599999998
19.0,50.49678207306714,75.94376113703863,475477.7000000002,715997.7800000003
20.0,50.65430163447252,75.94784230606193,477264.8300000001,716643.8400000003
21.0,50.34379033981617,75.51272134302815,471117.1899999997,706194.9699999993
22.0,50.6077050243112,75.87701978164522,468374.3100000002,701938.3099999999
23.0,50.60250243743911,76.08381004129537,467111.70000000036,700123.22
24.0,50.49824636901561,75.54563540659579,469381.2000000001,703254.3200000003
25.0,50.66440899357605,75.46734674227025,473205.5800000003,705393.29
26.0,50.79749300624059,76.25612222939534,472111.9000000001,708724.4000000004
27.0,50.30060724469316,75.44328060740268,476296.44999999955,715428.6299999997
28.0,50.13491591203102,75.48742770824346,465051.47999999975,699617.4800000003
29.0,50.541512495942854,76.07188861198394,467155.1999999998,702067.4599999997
30.0,50.12441024013536,75.07290961049956,473826.0499999996,709288.8499999999
31.0,50.31761535234898,75.53979160121476,479828.77999999985,721329.4699999997
32.0,50.54699882390674,75.7050192760763,472766.0799999997,706933.4700000004
33.0,50.591128945960385,75.83086435601197,472774.0999999998,708866.9199999999
34.0,50.13625468967732,74.88980068581226,467721.11999999976,698871.62
35.0,51.02940128755366,76.58937002795099,475594.02000000014,712434.3200000001
36.0,50.81112226374798,76.17942036720753,475846.15999999986,713648.8100000002
37.0,50.29345882352939,75.43949844936373,470243.8399999998,705434.7500000002
38.0,50.63474872773537,75.97255681217631,477586.95,718776.36
39.0,50.713442075796735,76.07648622470938,471026.45000000007,706902.7099999996
40.0,50.22551776429806,75.34901122625209,463681.9799999997,698033.2399999993
41.0,50.86290450219229,76.54286949098282,475619.02000000014,717283.23
42.0,50.236087569090685,75.59599783783786,463528.3799999998,699262.9800000002
43.0,50.31749465583583,75.17023778920307,470770.48000000004,701789.3399999999
44.0,50.27469062092926,75.37495440729482,463130.45000000036,694354.08
45.0,50.5842571893652,76.0653428229925,466133.93000000034,700029.3500000001
46.0,50.61915191740413,75.750774254714,480476.99,719102.1000000001
47.0,50.3146934438423,75.40615269939298,473511.5799999999,708139.1799999995
48.0,50.75035873015875,75.77799597500258,479590.8900000002,715420.0599999994
49.0,50.65338406735751,76.1916578578363,469252.94999999995,706372.8600000003
