n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4493.121369863018,20663865.180000022
ARGENTINA,4506.221916247709,970734831.4199977
BRAZIL,4487.879406230416,42931054.40000016
CANADA,4504.1313827577205,431599381.4899931
CHINA,4512.985034446401,197176829.13999772
EGYPT,4496.523787082328,520953756.3999973
ETHIOPIA,4517.525306704691,91836771.95999965
FRANCE,4451.10531118698,33899618.050000034
GERMANY,4537.616631097549,8930029.529999975
INDIA,4497.818816915795,140817711.5199997
INDONESIA,4415.036428356876,14697656.27000004
IRAN,4500.1501476830545,50887697.869999975
IRAQ,4611.873763837638,7498906.739999999
JAPAN,4491.708919243476,29923764.820000038
JORDAN,4502.447614913759,2129590185.1399844
KENYA,4609.283198127924,2954550.5299999993
MOROCCO,4499.182330632785,8229994302.840103
MOZAMBIQUE,4432.330734208377,10806022.330000024
PERU,4475.033283122531,148244427.5700001
ROMANIA,4578.53747527084,9720235.059999993
RUSSIA,4483.031526877014,40782137.80000019
SAUDI ARABIA,4479.388704575848,231123018.99000004
UNITED KINGDOM,4513.425205332936,118147931.60000026
UNITED STATES,4230.903522167488,1717746.83
VIETNAM,4501.685547634482,13892201.60000001
