n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4485.963837276613,92904311.06999865
ARGENTINA,4502.433764011164,1208273124.910036
BRAZIL,4510.8124307138605,150390486.44000012
CANADA,4502.551217803254,791697088.2799996
CHINA,4513.8624097194515,396610520.62999964
EGYPT,4495.096720007387,720519053.2499841
ETHIOPIA,4487.961561105378,219236922.2599977
FRANCE,4496.236486601802,115944450.28000069
GERMANY,4462.453072073459,57333597.06999981
INDIA,4494.109593215802,343147737.98999256
INDONESIA,4508.9186243946715,89384802.80999997
IRAN,4496.4737404656125,181567609.64000145
IRAQ,4505.0729989816555,44239816.84999985
JAPAN,4502.85326203586,126732805.05999929
JORDAN,4499.811531586512,2101996960.7500072
KENYA,4525.902660477458,17062653.030000016
MOROCCO,4499.734530499953,5470268772.179896
MOZAMBIQUE,4541.700492395319,65395945.3900002
PERU,4517.51115746659,328743804.4400012
ROMANIA,4479.609351898338,53567168.63000033
RUSSIA,4503.305773459535,153184449.18999955
SAUDI ARABIA,4494.673555710463,393189547.9799956
UNITED KINGDOM,4488.452732784764,300551283.44000053
UNITED STATES,4466.600980861241,9335196.049999993
VIETNAM,4451.247551526193,68246527.45999959
