n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,2598.7439291640458,311472453.6299567
ARGENTINA,2599.750477056547,311496902.65996134
BRAZIL,2604.226016955868,312392536.08995813
CANADA,2610.676927590969,313171582.8799575
CHINA,2598.6689730835838,311460871.09995985
EGYPT,2610.012454315588,313224984.6299594
ETHIOPIA,2590.146016855212,311944235.53995746
FRANCE,2590.891344640789,311914818.08996
GERMANY,2603.779962698328,312721784.8599573
INDIA,2591.670525197362,312314439.97995853
INDONESIA,2607.050614336718,313565619.6899631
IRAN,2602.6466884879655,312882376.9499577
IRAQ,2591.0111695990927,310983524.6199615
JAPAN,2598.4618629780152,310173195.65995973
JORDAN,2597.287300031483,309840791.16995573
KENYA,2610.773645015139,311909127.3699587
MOROCCO,2597.0688375171644,311585930.8499593
MOZAMBIQUE,2601.703910358896,311423958.0699598
PERU,2621.4459719715965,314258943.119955
ROMANIA,2604.923264873707,312523063.7799581
RUSSIA,2591.0521003633407,310625689.99995875
SAUDI ARABIA,2615.45333236304,314597188.6299559
UNITED KINGDOM,2601.2595762378337,313922606.919958
UNITED STATES,2595.765685018448,311691756.1599602
VIETNAM,2598.974139286899,311905485.4299601
