n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,1206.412924950585,144594621.11995235
ARGENTINA,1212.19612595731,145242915.41995296
BRAZIL,1201.7040078858333,144151605.96995303
CANADA,1208.2516014767893,144939445.6099527
CHINA,1207.641789093009,144740698.98995352
EGYPT,1210.8845273267286,145317041.23995337
ETHIOPIA,1222.4255867476631,147222825.5399548
FRANCE,1211.594458131167,145862645.21995306
GERMANY,1215.5640181340486,145992885.26995364
INDIA,1204.5036368007975,145151119.7599537
INDONESIA,1203.170518058079,144712537.22995353
IRAN,1211.041332756212,145587755.8999535
IRAQ,1207.031213256962,144872714.3399536
JAPAN,1201.1945418366226,143384190.06995398
JORDAN,1212.0885923009891,144594896.5299542
KENYA,1208.085067380533,144329922.9999523
MOROCCO,1210.9928321493703,145290076.02995285
MOZAMBIQUE,1213.07810258941,145205448.87995237
PERU,1216.029994410679,145777675.7299522
ROMANIA,1205.0774679510075,144577964.13995418
RUSSIA,1211.2747081341454,145212457.10995388
SAUDI ARABIA,1211.8702324494693,145768599.03995198
UNITED KINGDOM,1211.2533140258508,146175261.1899537
UNITED STATES,1215.7390542731187,145982298.41995326
VIETNAM,1207.4557652211333,144907973.83995342
