n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4651.276267605635,660481.2300000002
ARGENTINA,4514.167983692281,421862540.57999474
BRAZIL,4521.901606837605,2645312.439999999
CANADA,4471.095183974238,97089831.92000058
CHINA,4396.233581699356,33631186.90000007
EGYPT,4491.514939515095,175249929.90999997
ETHIOPIA,4572.47516969219,11586652.080000011
FRANCE,4510.460233545649,2124426.770000001
GERMANY,4849.3975,96987.95
INDIA,4469.6756658031045,17252948.06999998
INDONESIA,3807.948653846154,198013.33
IRAN,4512.843742857146,3158990.620000002
IRAQ,4304.749523809524,90399.74
JAPAN,4370.994344262292,1066522.6199999992
JORDAN,4495.620321284577,1409898462.6799839
KENYA,5380.419999999999,21521.679999999997
MOROCCO,4500.235451970075,11232614689.530018
MOZAMBIQUE,4926.481621621621,182279.81999999998
PERU,4507.54521219367,22623369.420000028
ROMANIA,3978.557142857143,139249.5
RUSSIA,4583.568731501056,2168028.01
SAUDI ARABIA,4553.461729238764,52638017.59000011
UNITED KINGDOM,4494.908268733852,12176706.500000006
UNITED STATES,21.38,21.38
VIETNAM,4640.864133333333,348064.80999999994
