n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4498.595342538917,539179144.7800019
ARGENTINA,4487.742476923323,537712328.0999987
BRAZIL,4502.577785354635,540111220.8200006
CANADA,4497.830836959609,539550791.5400008
CHINA,4498.159662756358,539122428.2200005
EGYPT,4499.530455965777,539984150.4899969
ETHIOPIA,4498.321851455168,541755392.1800032
FRANCE,4494.247040925665,541057907.0099999
GERMANY,4493.813617311819,539720496.8800014
INDIA,4510.396542275571,543534356.1200023
INDONESIA,4497.021060893238,540883705.1199951
IRAN,4504.8336726086645,541557589.6199958
IRAQ,4509.381825468252,541234044.2200015
JAPAN,4495.166224783848,536579001.9199983
JORDAN,4503.106345834648,537193568.4199985
KENYA,4503.272404285636,538005954.140005
MOROCCO,4494.622212359131,539246794.549999
MOZAMBIQUE,4507.150460066823,539505910.0699987
PERU,4496.583979062391,539050487.4099995
ROMANIA,4484.522203977557,538026066.9000034
RUSSIA,4515.139057255329,541292930.7399979
SAUDI ARABIA,4511.074868976754,542610129.54
UNITED KINGDOM,4493.317201382133,542258013.1799972
UNITED STATES,4500.026631161642,540349697.7899965
VIETNAM,4499.608580213476,540002525.3199995
