n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4266.403765182185,2107603.4599999995
ARGENTINA,4487.190077625159,660720790.1699941
BRAZIL,4484.767598108744,9485283.469999993
CANADA,4518.799891039846,209848548.13999942
CHINA,4513.725037421139,84433740.54999983
EGYPT,4503.426444015955,315329919.60999715
ETHIOPIA,4499.444643613271,31878565.300000027
FRANCE,4506.9915276073625,7346396.19
INDIA,4474.475062404607,49832228.77000011
IRAN,4394.960761559386,9695283.440000005
JAPAN,4419.10050619835,4277689.290000003
JORDAN,4505.81350253382,1808534412.0200195
MOROCCO,4499.497878869145,10084999065.280025
PERU,4509.995818000593,58828385.449999735
RUSSIA,4501.083054679284,8561059.969999999
SAUDI ARABIA,4470.274179227831,113585196.61999996
UNITED KINGDOM,4517.464609192722,38723706.63000001
VIETNAM,4641.530277777778,1336760.72
