n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,969.7348058066511,116227565.14995617
ARGENTINA,967.5084537378007,115924927.9099558
BRAZIL,966.6900753605986,115960274.67995596
CANADA,968.6970362123084,116202959.0699561
CHINA,964.3252584807908,115578239.5299567
EGYPT,967.5073400324649,116109588.36995608
ETHIOPIA,971.5426141898733,117007734.73995739
FRANCE,964.3723076024977,116099817.7399571
GERMANY,966.0412152065877,116024448.06995681
INDIA,969.6812200117532,116853374.77995634
INDONESIA,968.2067278588928,116452032.3999562
IRAN,963.7222715585665,115855800.31995618
IRAQ,974.1289831196808,116918857.06995657
JAPAN,963.3368824974544,114991596.98995614
JORDAN,968.0474323935564,115482250.39995691
KENYA,964.5900580895204,115239574.23995501
MOROCCO,966.2935409578196,115932033.86995536
MOZAMBIQUE,958.441172597793,114725408.35995582
PERU,965.026194193822,115687340.15995538
ROMANIA,965.6827754343142,115856825.29995641
RUSSIA,967.4069199389127,115976611.1899566
SAUDI ARABIA,962.4107314352299,115762612.4199552
UNITED KINGDOM,969.6370802359651,117016772.47995651
UNITED STATES,967.4590278734154,116169577.6899561
VIETNAM,964.9151416116539,115800431.0599562
