r_movieid,avg(rating),sum(rating)
1,3.928867924528302,11869110.0
6,3.8090953906827707,5779609.0
10,3.432364033346566,5948534.0
21,3.586394176931691,7270015.5
32,3.876726377683577,11453602.0
34,3.7083112758073056,8195850.0
39,3.435319377348363,5952000.0
47,4.032088509887525,12011821.5
50,4.367460262372457,11388882.0
95,3.114729645742697,4861252.0
110,4.084813802528186,16212675.0
141,3.5204169221336605,5741800.0
150,3.890882370950952,11882354.0
153,2.922790617155717,7158604.0
161,3.752454337899543,7330344.5
165,3.4874839812046132,8000916.0
185,3.128908423278068,5680139.0
208,2.8693205287071457,5529513.5
231,2.938361266294227,5806672.0
253,3.483568812140241,7023240.5
260,4.2224039247751435,16411192.0
288,3.201054127679735,5729618.0
292,3.4099575173557146,5890800.5
296,4.1524155622060706,17744737.5
316,3.352928283359635,8413570.0
318,4.453945957538066,16531925.0
329,3.345408163265306,6917635.0
339,3.5039560699102505,5756271.0
344,2.98120390197478,7029330.0
349,3.675584834632966,8324725.5
356,4.012837313143079,16536100.0
357,3.658406902086677,6928730.0
364,3.74479955367817,9726102.0
367,3.2015794582193595,7147849.5
377,3.523085068831627,9831186.5
380,3.494209630986653,9933423.0
434,3.0744109589041098,6115772.0
454,3.4996214169821527,6082552.0
457,4.0058008658008655,13047294.0
480,3.6627437965894005,12841191.5
