r_movieid,avg(rating),sum(rating)
1,3.928867924528302,62469.0
6,3.8090953906827707,30907.0
10,3.432364033346566,34584.5
21,3.586394176931691,32026.5
32,3.876726377683577,56701.0
34,3.7083112758073056,42030.0
39,3.435319377348363,32000.0
47,4.032088509887525,54848.5
50,4.367460262372457,62922.0
95,3.114729645742697,25058.0
110,4.084813802528186,71737.5
141,3.5204169221336605,28709.0
150,3.890882370950952,63542.0
153,2.922790617155717,33767.0
161,3.752454337899543,32871.5
165,3.4874839812046132,40821.0
185,3.128908423278068,28119.5
208,2.8693205287071457,27786.5
231,2.938361266294227,31558.0
253,3.483568812140241,33285.5
260,4.2224039247751435,72296.0
288,3.201054127679735,27026.5
292,3.4099575173557146,32909.5
296,4.1524155622060706,87412.5
316,3.352928283359635,38243.5
318,4.453945957538066,83075.0
329,3.345408163265306,32785.0
339,3.5039560699102505,29671.5
344,2.98120390197478,37590.0
349,3.675584834632966,41008.5
356,4.012837313143079,82680.5
357,3.658406902086677,36467.0
364,3.74479955367817,46986.0
367,3.2015794582193595,36283.5
377,3.523085068831627,49904.5
380,3.494209630986653,53405.5
434,3.0744109589041098,28054.0
454,3.4996214169821527,32354.0
457,4.0058008658008655,69400.5
480,3.6627437965894005,71738.5
